BPLP - 1 Digit Level,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
"2096, NSW",9901,1956,387,74,162,153,66,627,253,0,1055,14656
"2097, NSW",11396,1580,429,63,201,279,100,379,211,3,888,15531
"2099, NSW",25049,3852,1899,325,1457,1593,1334,1495,502,34,2383,39922
"2100, NSW",14538,2167,775,181,477,858,278,522,301,5,810,20911
"2101, NSW",14531,1971,412,93,221,151,116,520,231,12,1131,19394
"2102, NSW",5418,788,235,47,108,99,74,215,160,4,355,7499
"2103, NSW",7793,1230,335,53,133,112,70,220,184,3,540,10674
"2104, NSW",2506,582,73,20,33,44,17,64,72,0,204,3620
"2105, NSW",1193,284,23,10,20,14,3,56,46,0,194,1848
"2106, NSW",7130,1006,136,43,108,85,54,214,156,0,365,9303
"2107, NSW",10950,2094,161,46,135,89,31,329,207,6,604,14670
"2108, NSW",1233,164,33,4,15,24,4,39,17,0,149,1672
"2109, NSW",960,110,54,126,309,807,334,77,69,9,231,3090
"2110, NSW",7316,687,420,161,227,469,123,172,156,3,613,10348
"2111, NSW",9663,840,764,278,470,893,282,305,124,16,778,14415
"2112, NSW",17595,1134,1634,1501,1907,5046,1572,470,333,23,1645,32852
"2113, NSW",9955,693,568,783,1237,2424,1355,354,204,26,773,18365
"2114, NSW",11553,787,604,800,1511,5312,2047,336,183,23,893,24059
"2115, NSW",6474,366,291,596,472,1394,383,142,109,8,503,10738
"2116, NSW",3686,207,144,296,309,1196,319,96,73,0,319,6640
"2117, NSW",11280,611,459,982,999,4526,799,284,197,18,1132,21288
"2118, NSW",11495,643,423,624,1300,7078,1575,273,154,17,765,24340
"2119, NSW",7775,597,167,122,408,1469,509,133,139,5,316,11646
"2120, NSW",13065,1303,343,435,772,1935,996,361,366,26,604,20207
"2121, NSW",13130,948,363,344,1364,8416,2247,352,216,22,824,28215
