BPLP - 1 Digit Level,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
"2478, NSW",23381,1523,165,49,262,138,107,241,166,8,2276,28316
"2479, NSW",3579,374,53,12,33,29,27,81,52,4,488,4735
"2480, NSW",37013,1947,317,79,376,180,161,323,257,14,3930,44596
"2481, NSW",7883,1023,162,64,90,98,33,339,91,6,1978,11770
"2482, NSW",4352,573,69,66,27,44,9,123,64,3,941,6276
"2483, NSW",8059,800,96,66,66,51,38,195,65,0,1158,10604
"2484, NSW",15280,1043,111,25,122,53,120,140,87,0,1893,18874
"2485, NSW",10679,1241,165,37,208,120,112,215,61,0,1534,14375
"2486, NSW",25568,2503,284,43,386,238,146,231,157,8,2021,31594
"2487, NSW",10943,860,78,15,89,48,26,129,93,0,1161,13430
"2488, NSW",2665,216,24,3,34,21,9,25,19,0,258,3262
"2489, NSW",6214,543,45,6,51,25,22,59,40,0,353,7353
"2490, NSW",536,38,4,0,5,6,0,8,0,0,68,667
"2500, NSW",25685,2081,2357,1379,1423,2421,1226,544,406,20,2973,40512
"2502, NSW",7625,467,2196,479,270,47,54,94,151,4,1057,12433
"2505, NSW",3418,173,829,20,58,18,10,50,20,0,414,5008
"2506, NSW",5503,467,586,140,182,39,19,78,25,0,558,7608
"2508, NSW",7536,601,115,18,52,47,36,102,53,4,408,8975
"2515, NSW",9050,937,151,32,79,48,34,136,84,0,557,11110
"2516, NSW",5016,482,70,34,54,25,11,66,37,0,305,6108
"2517, NSW",11319,981,221,47,160,59,57,125,123,0,631,13732
"2518, NSW",14798,1326,780,203,324,136,125,216,87,5,1065,19066
"2519, NSW",12168,993,971,457,368,540,220,195,120,0,901,16931
"2522, NSW",199,6,0,16,19,27,20,8,0,0,9,300
"2525, NSW",8713,696,765,163,159,195,148,121,101,0,493,11564
"2526, NSW",11980,956,1008,143,174,87,135,200,80,4,858,15629
"2527, NSW",17654,1678,461,55,176,44,49,131,65,5,1072,21381
"2528, NSW",17803,1983,1290,200,271,63,58,206,62,3,1836,23773
"2529, NSW",20340,1758,1403,194,277,131,165,211,177,5,1363,26021
"2530, NSW",25586,2967,960,108,368,174,161,248,81,6,1368,32017
"2533, NSW",12691,1309,217,42,98,84,28,148,108,0,891,15623
"2534, NSW",4600,358,63,6,25,16,13,45,29,0,567,5711
"2535, NSW",5789,677,65,17,45,28,21,48,30,4,606,7332
"2536, NSW",13929,1402,353,35,135,49,55,115,88,3,1553,17720
"2537, NSW",9457,939,142,11,67,19,34,78,50,5,1017,11811
"2538, NSW",1864,183,33,9,9,6,4,20,13,0,256,2397
"2539, NSW",14612,1260,275,22,141,54,43,107,75,7,1387,17978
"2541, NSW",20622,1516,262,55,297,139,206,163,106,6,2269,25642
"2545, NSW",848,68,6,0,4,0,8,11,4,0,95,1042
"2546, NSW",7087,783,111,10,39,21,22,83,39,0,932,9118
"2548, NSW",6053,693,81,15,81,35,21,65,40,3,645,7736
"2549, NSW",3144,233,23,3,29,9,6,29,14,0,290,3788
"2550, NSW",13026,982,70,19,120,30,29,113,50,0,1425,15857
"2551, NSW",2797,207,43,11,26,10,4,18,17,0,368,3502
"2555, NSW",148,9,18,4,5,17,0,0,0,0,15,229
"2556, NSW",1844,94,214,95,40,23,16,17,4,0,162,2509
"2557, NSW",6342,236,512,284,221,182,159,109,98,3,788,8948
"2558, NSW",8448,398,293,349,542,61,218,234,163,3,405,11115
"2559, NSW",2130,50,35,72,52,3,28,27,17,0,649,3070
"2560, NSW",55518,3703,1658,1664,3334,785,2597,1210,1010,53,4999,76525
"2563, NSW",253,11,5,0,0,5,0,4,0,0,27,305
"2564, NSW",8559,415,363,388,745,206,1688,208,183,3,1159,13925
"2565, NSW",12163,814,573,393,1200,527,2437,302,246,17,1322,19985
"2566, NSW",17677,983,637,699,1474,226,2557,384,347,11,1319,26323
"2567, NSW",31367,1913,840,396,674,301,576,555,397,9,1462,38501
"2568, NSW",944,73,18,8,6,6,0,13,3,0,74,1146
"2569, NSW",1102,87,28,12,11,3,4,11,6,0,108,1360
"2570, NSW",32842,2389,778,300,410,208,337,385,342,7,2113,40102
"2571, NSW",9946,737,166,28,65,43,32,90,88,0,674,11851
"2572, NSW",3591,322,100,39,14,13,12,18,24,0,348,4476
"2573, NSW",4129,296,65,50,52,18,16,28,21,0,386,5068
"2574, NSW",4770,362,95,13,31,29,11,38,17,0,368,5740
"2575, NSW",12426,1129,238,38,139,74,108,129,76,0,1112,15477
"2576, NSW",10270,1335,232,47,103,103,151,161,141,5,885,13433
"2577, NSW",12075,1129,192,41,136,211,113,137,97,5,1278,15416
"2578, NSW",2084,338,38,4,10,7,6,26,17,0,145,2688
"2579, NSW",3224,307,78,11,26,7,19,32,22,0,304,4024
"2580, NSW",24597,1069,210,121,284,175,233,146,161,4,2217,29221
"2581, NSW",1769,101,19,5,11,10,3,18,4,0,157,2093
"2582, NSW",10529,650,76,31,58,29,36,103,55,3,877,12439
"2583, NSW",3716,147,27,0,12,5,3,7,4,0,463,4384
"2584, NSW",461,28,0,0,0,0,0,0,0,0,52,543
"2585, NSW",185,6,0,0,4,0,0,0,0,0,22,226
"2586, NSW",2266,83,19,7,6,5,3,9,10,0,208,2620
"2587, NSW",2539,85,26,10,10,10,6,12,5,0,208,2917
"2588, NSW",231,12,0,0,4,0,0,0,0,0,14,259
"2590, NSW",6102,211,25,9,45,30,32,20,13,0,611,7091
"2594, NSW",10144,261,60,69,55,34,45,28,11,0,957,11669
"2619, NSW",7881,530,254,35,112,60,112,140,79,0,312,9508
"2621, NSW",4935,392,69,0,36,15,16,66,41,3,494,6056
"2622, NSW",3042,245,29,9,31,6,19,29,5,0,494,3921
"2623, NSW",484,44,6,0,7,0,0,6,7,0,57,613
"2625, NSW",226,24,3,0,3,11,3,5,5,0,111,390
"2626, NSW",392,36,3,0,5,0,0,6,0,0,60,505
"2627, NSW",3629,310,47,11,42,56,8,68,16,0,430,4621
"2628, NSW",1588,127,23,0,10,7,0,12,3,0,136,1910
"2629, NSW",371,63,14,0,4,3,0,4,0,0,71,530
"2630, NSW",6760,553,178,40,94,67,47,53,48,0,849,8689
"2631, NSW",475,36,0,0,0,0,0,0,5,0,54,570
"2632, NSW",1545,71,15,0,10,20,0,5,0,0,169,1833
"2633, NSW",311,16,3,0,0,5,0,3,0,0,48,380
"2640, NSW",30347,1372,291,62,358,159,668,169,190,3,2721,36343
"2641, NSW",12125,546,150,28,207,46,605,31,79,3,1258,15073
"2642, NSW",4101,188,17,4,18,11,6,13,5,0,430,4791
"2643, NSW",2270,132,8,0,18,19,4,3,5,0,310,2771
"2644, NSW",2088,73,0,0,10,8,6,0,6,0,207,2400
"2645, NSW",300,9,3,0,0,0,6,0,0,0,81,400
"2646, NSW",5759,234,33,0,47,14,30,7,14,0,621,6755
"2647, NSW",1828,95,18,0,13,0,4,6,6,0,202,2163
"2648, NSW",1952,62,11,0,14,0,4,0,0,0,328,2375
"2649, NSW",24,4,0,0,0,0,0,0,0,0,0,31
"2650, NSW",48501,1307,241,400,784,405,1067,222,491,12,3535,56973
"2651, NSW",1982,43,3,0,33,5,37,10,33,0,116,2274
"2652, NSW",3901,119,17,5,11,7,4,5,18,0,503,4584
"2653, NSW",2153,78,11,8,22,14,3,18,10,0,231,2532
"2655, NSW",1148,37,0,0,0,6,0,3,3,0,136,1336
"2656, NSW",1109,26,6,0,0,3,0,7,0,0,123,1271
"2658, NSW",1258,49,0,0,11,0,0,0,3,0,105,1435
"2659, NSW",794,27,0,0,0,0,0,0,3,0,62,889
"2660, NSW",1404,46,9,0,13,5,3,8,5,0,123,1616
"2661, NSW",474,11,4,0,14,3,7,6,6,0,102,629
"2663, NSW",4324,99,15,14,51,111,25,20,8,0,507,5183
"2665, NSW",1888,48,9,3,5,0,8,8,3,0,253,2226
"2666, NSW",5003,107,20,13,52,7,19,16,6,0,426,5671
"2668, NSW",381,14,3,0,0,0,0,6,0,0,50,457
"2669, NSW",1419,38,0,0,0,0,0,5,9,0,173,1653
"2671, NSW",3389,53,3,5,25,18,24,7,31,0,563,4111
"2672, NSW",1289,12,9,5,11,4,0,5,9,0,222,1576
"2675, NSW",1215,44,15,6,11,32,32,0,20,0,189,1564
"2678, NSW",301,10,0,3,3,14,4,0,3,0,0,334
"2680, NSW",17696,375,1100,151,356,261,1249,87,145,7,2503,23942
"2681, NSW",1419,19,50,11,21,11,9,9,0,0,193,1732
"2700, NSW",4092,104,22,0,27,10,27,15,12,0,616,4925
"2701, NSW",2051,43,0,0,6,0,6,7,6,0,268,2388
"2702, NSW",669,18,0,0,0,0,0,6,0,0,86,781
"2703, NSW",871,16,4,0,3,0,0,0,3,0,88,981
"2705, NSW",8337,142,204,13,128,37,142,21,35,3,1085,10156
"2706, NSW",967,26,3,0,11,4,6,4,8,0,141,1155
"2707, NSW",1144,12,8,0,14,5,4,0,13,0,142,1344
"2710, NSW",8466,241,53,8,37,77,60,12,43,0,1125,10124
"2711, NSW",2738,55,33,0,16,3,30,11,7,0,468,3361
"2712, NSW",1107,47,0,0,4,0,7,0,0,0,190,1358
"2713, NSW",2313,92,9,3,13,6,24,5,21,0,306,2797
"2714, NSW",2288,130,14,3,20,10,9,20,8,0,274,2767
"2715, NSW",1272,23,7,4,0,0,10,0,0,0,144,1478
"2716, NSW",858,29,16,3,0,0,20,4,0,0,176,1102
"2717, NSW",1132,22,4,4,9,0,4,4,0,0,160,1333
"2720, NSW",6602,224,32,7,61,21,33,27,102,0,912,8010
"2721, NSW",193,4,0,0,0,0,0,3,4,0,30,239
"2722, NSW",2793,55,12,0,21,12,14,5,0,0,300,3207
"2725, NSW",311,16,0,0,4,0,0,0,0,0,43,373
"2726, NSW",185,5,0,0,0,0,0,6,0,0,21,219
"2727, NSW",314,0,0,0,0,0,0,0,0,0,34,352
"2729, NSW",1481,36,5,0,10,0,0,7,9,0,151,1696
"2730, NSW",1088,74,29,0,19,42,10,5,0,0,124,1385
"2731, NSW",5434,270,30,0,50,18,35,16,30,0,523,6407
"2732, NSW",1507,46,9,0,13,5,4,3,3,0,189,1776
"2733, NSW",441,5,0,0,17,0,4,0,0,0,77,541
"2734, NSW",393,4,3,0,5,0,0,0,0,0,55,456
"2735, NSW",376,10,6,0,0,4,0,0,0,0,54,446
"2736, NSW",293,11,12,0,3,6,6,0,0,0,51,375
"2737, NSW",654,7,14,0,17,5,0,4,0,0,136,839
"2738, NSW",1460,30,21,0,0,0,0,3,4,0,140,1661
"2739, NSW",1160,30,24,0,3,0,5,6,0,0,161,1397
"2745, NSW",23126,1544,724,405,660,269,919,232,257,5,1376,29503
"2747, NSW",31439,2090,977,632,1321,569,2144,326,432,14,2487,42421
"2748, NSW",1352,93,158,69,24,11,25,14,10,0,125,1879
"2749, NSW",13794,931,350,126,239,110,207,134,76,4,962,16933
"2750, NSW",34575,3211,974,399,858,466,1010,346,314,21,2632,44806
"2752, NSW",4204,232,116,26,32,12,11,36,15,0,241,4924
"2753, NSW",13805,1004,499,62,181,108,78,91,105,3,1203,17134
"2754, NSW",4806,376,83,9,53,25,11,21,32,0,266,5695
"2755, NSW",161,4,0,0,3,0,0,0,0,0,92,260
"2756, NSW",28577,1710,522,97,311,182,89,177,159,3,2113,33934
"2757, NSW",707,50,32,0,9,4,7,6,0,0,35,851
"2758, NSW",7067,553,134,20,62,20,25,54,55,0,713,8718
"2759, NSW",19474,1118,799,831,1183,197,856,303,255,5,1317,26331
"2760, NSW",22967,1144,1133,915,1853,289,2141,253,505,15,2605,33832
"2761, NSW",18650,532,801,1114,4492,250,2786,315,455,10,1543,30954
"2762, NSW",3320,195,181,59,183,98,514,65,89,4,275,4979
"2763, NSW",18839,899,777,797,2378,539,4607,308,582,13,1141,30875
"2765, NSW",12375,606,628,168,365,207,338,129,114,4,1167,16112
"2766, NSW",8328,358,519,556,2746,246,1518,189,191,9,874,15536
"2767, NSW",12117,420,707,860,3306,398,3151,233,304,10,1027,22526
"2768, NSW",16247,905,555,913,2283,1083,4866,464,654,20,766,28760
"2769, NSW",6307,421,176,359,788,375,2432,151,261,9,456,11732
"2770, NSW",40372,1560,1382,3271,3976,499,3659,465,767,37,5324,61302
"2773, NSW",4957,487,74,20,59,27,26,61,35,8,265,6009
"2774, NSW",10818,1018,144,38,111,64,63,137,86,10,442,12931
"2775, NSW",1034,103,15,8,8,9,8,8,11,0,283,1492
"2776, NSW",3377,298,70,12,31,15,13,46,22,0,144,4026
"2777, NSW",14526,1578,235,42,160,64,62,194,107,4,631,17606
"2778, NSW",1932,248,40,3,19,14,17,42,10,3,106,2432
"2779, NSW",4092,435,63,24,58,16,16,52,21,0,191,4976
"2780, NSW",9601,1255,285,53,330,227,124,218,70,4,1047,13222
"2782, NSW",4655,619,116,16,75,54,39,85,42,0,372,6077
"2783, NSW",2082,241,47,12,23,9,0,39,8,0,145,2612
"2784, NSW",982,103,14,6,8,9,5,16,4,0,75,1232
"2785, NSW",3432,470,57,17,56,40,15,90,44,0,329,4545
"2786, NSW",905,123,16,0,13,8,3,15,9,0,187,1290
"2787, NSW",3556,198,63,11,16,15,9,10,15,0,555,4450
"2790, NSW",12780,683,157,53,196,76,86,74,37,4,1624,15763
"2791, NSW",291,15,0,0,0,3,0,3,9,0,22,344
"2792, NSW",312,25,4,0,5,0,0,0,0,0,37,389
"2793, NSW",792,58,4,0,4,6,0,3,0,0,107,975
"2794, NSW",8941,265,63,13,53,35,30,28,37,0,960,10426
"2795, NSW",36121,1419,222,141,375,194,358,193,174,10,3337,42552
"2797, NSW",381,11,0,0,0,0,0,0,0,0,31,422
"2798, NSW",1818,62,7,0,5,6,0,3,3,0,186,2103
"2799, NSW",3570,135,11,3,19,8,6,3,14,0,347,4119
"2800, NSW",38191,1270,371,140,375,289,610,183,334,8,3237,44994
"2803, NSW",223,12,3,0,0,0,0,0,0,0,35,277
"2804, NSW",2339,56,13,0,7,8,17,3,7,0,220,2667
"2805, NSW",341,18,4,0,0,0,0,0,0,0,23,397
"2806, NSW",674,27,3,0,0,0,0,0,0,0,68,781
"2807, NSW",334,17,5,4,7,0,0,0,0,0,56,429
"2808, NSW",135,18,0,0,0,0,0,0,0,0,21,177
"2809, NSW",172,15,0,0,0,0,0,0,0,0,52,239
"2810, NSW",2712,77,15,5,23,9,8,9,5,0,285,3152
"2817, NSW",257,9,0,0,0,0,0,0,4,0,21,291
"2818, NSW",750,20,0,0,4,0,0,0,8,0,85,864
"2820, NSW",6060,163,23,21,46,20,20,23,15,3,917,7320
"2821, NSW",4170,84,12,5,11,9,11,11,0,0,495,4810
"2822, NSW",347,8,3,0,0,0,0,4,0,0,46,412
"2823, NSW",1193,28,3,0,3,4,0,0,0,0,192,1419
"2824, NSW",1832,39,4,4,15,10,0,7,17,0,274,2187
"2825, NSW",2024,25,4,0,13,9,21,11,10,5,266,2382
"2826, NSW",163,10,0,0,0,0,0,0,0,0,26,197
"2827, NSW",3202,51,6,0,17,4,19,6,15,0,367,3693
"2828, NSW",694,13,3,0,0,0,0,0,0,0,127,832
"2829, NSW",2508,28,8,3,8,5,22,0,6,0,514,3100
"2830, NSW",34406,680,123,117,343,255,844,108,202,9,3206,40290
"2831, NSW",1659,32,7,0,3,0,5,10,5,0,207,1920
"2832, NSW",2063,43,9,4,7,14,25,9,0,3,387,2566
"2833, NSW",592,8,0,0,0,0,3,0,0,0,47,654
"2834, NSW",1642,130,123,4,40,7,19,10,5,4,355,2338
"2835, NSW",3384,63,10,8,33,4,39,18,49,0,566,4173
"2836, NSW",777,13,6,5,0,6,3,3,0,0,87,890
"2838, NSW",232,5,0,0,0,0,0,0,0,0,12,243
"2839, NSW",1168,11,0,0,0,0,6,0,0,0,146,1337
"2840, NSW",2041,34,3,3,5,0,23,3,4,0,571,2702
"2842, NSW",524,23,9,3,3,0,0,0,3,0,67,626
"2843, NSW",1076,33,5,0,9,0,10,7,0,0,153,1288
"2844, NSW",1082,31,8,0,7,0,3,8,3,0,291,1441
"2845, NSW",1620,65,9,10,4,4,7,9,0,0,252,1978
"2846, NSW",198,20,6,0,0,0,0,0,0,0,52,277
"2847, NSW",1969,90,26,3,11,6,0,3,3,0,316,2426
"2848, NSW",1305,77,33,0,12,4,0,4,0,0,209,1650
"2849, NSW",1234,84,16,4,8,3,0,7,9,0,182,1547
"2850, NSW",14599,633,123,9,114,49,49,86,79,0,1904,17645
"2852, NSW",2884,111,12,5,24,3,9,7,3,0,485,3542
"2864, NSW",712,26,0,0,3,7,0,3,4,0,49,805
"2865, NSW",717,7,6,0,6,0,0,0,5,0,124,868
"2866, NSW",2641,91,7,0,19,10,3,5,17,0,289,3100
"2867, NSW",527,18,0,0,0,0,0,0,4,0,40,599
"2868, NSW",573,19,0,0,4,0,0,0,0,0,51,649
"2869, NSW",1153,41,7,8,3,9,8,0,5,0,215,1442
"2870, NSW",10316,222,29,23,126,45,41,27,39,0,1159,12038
"2871, NSW",8069,142,38,9,46,21,33,15,15,0,959,9350
"2873, NSW",443,10,3,0,0,0,0,0,0,0,102,558
"2874, NSW",368,13,0,0,0,0,0,0,0,0,46,423
"2875, NSW",828,13,5,0,0,9,5,0,3,0,105,969
"2876, NSW",353,5,0,0,0,0,0,0,0,0,59,421
"2877, NSW",3320,27,7,0,36,7,17,3,6,0,446,3880
"2878, NSW",252,0,0,0,3,8,0,0,0,0,100,371
"2879, NSW",491,10,8,0,0,0,0,0,0,0,124,636
"2880, NSW",15928,304,89,16,145,25,75,36,41,4,1614,18276
"2898, NSW",312,13,4,0,0,0,0,10,0,0,38,381
"3000, VIC",6033,1000,653,581,7766,13180,2667,1296,260,29,4515,37979
"3002, VIC",3276,360,136,50,179,145,66,140,37,4,571,4957
"3003, VIC",2463,241,186,77,546,867,307,185,50,6,568,5516
"3004, VIC",4244,779,316,168,628,1037,456,341,123,11,1206,9311
"3005, VIC",192,20,11,12,42,77,16,19,0,0,137,523
"3006, VIC",6171,1158,638,429,2183,3626,1087,837,206,19,2464,18811
"3008, VIC",3048,465,276,291,785,2381,1436,293,113,17,1338,10438
"3010, VIC",1071,92,5,7,102,101,39,54,42,0,71,1595
"3011, VIC",11035,811,941,271,2759,953,1880,395,397,14,2006,21464
"3012, VIC",14669,893,1401,428,3317,879,1957,459,528,21,1745,26295
"3013, VIC",10706,853,969,112,581,210,213,265,101,4,950,14967
"3015, VIC",13010,1077,912,291,400,187,308,246,141,12,879,17472
"3016, VIC",11634,1294,657,165,279,113,142,204,160,4,909,15558
"3018, VIC",8586,1110,870,97,405,225,298,188,109,14,797,12685
"3019, VIC",3458,114,279,203,2749,360,852,104,356,7,722,9199
"3020, VIC",18806,773,4530,1187,9617,1030,3806,541,955,47,3479,44784
"3021, VIC",21201,1130,7036,1558,11591,798,4521,632,848,62,4812,54190
"3022, VIC",1578,111,341,90,340,50,227,44,77,4,242,3102
"3023, VIC",34021,1244,5113,1949,9325,1299,4832,1105,1203,42,3827,63974
"3024, VIC",15685,946,637,437,1367,179,2402,219,471,21,1482,23852
"3025, VIC",6845,466,1732,661,726,150,282,121,106,9,1062,12155
"3026, VIC",44,5,0,0,0,0,0,0,0,0,18,72
"3027, VIC",2878,138,134,118,730,633,1452,81,155,4,321,6650
"3028, VIC",17258,1247,2422,644,2144,720,2223,315,344,30,1844,29198
"3029, VIC",51105,2433,3428,2348,6831,1898,16921,971,2650,99,5254,93946
"3030, VIC",58574,4654,4050,1641,8569,4804,8668,1284,2385,76,5611,100311
"3031, VIC",11094,871,508,445,1375,798,437,404,872,17,1714,18533
"3032, VIC",17095,1035,1421,690,2851,1697,1121,669,646,24,2207,29449
"3033, VIC",9659,380,1855,357,618,238,376,159,65,6,811,14512
"3034, VIC",6289,298,2193,419,904,254,264,186,65,8,754,11633
"3036, VIC",4399,268,575,83,106,56,79,39,11,3,307,5921
"3037, VIC",30893,1021,4941,1481,4046,499,4198,698,606,35,2736,51156
"3038, VIC",16769,645,4116,852,1382,282,1235,340,178,14,1440,27258
"3039, VIC",9991,610,1113,159,417,347,483,233,99,4,801,14252
"3040, VIC",18906,905,1329,346,594,578,1245,329,197,14,1498,25939
"3041, VIC",9390,430,627,236,222,189,483,114,53,3,672,12412
"3042, VIC",11086,550,1719,234,279,221,479,169,108,8,914,15762
"3043, VIC",11374,557,1527,1143,479,200,909,127,105,4,1284,17715
"3044, VIC",18256,797,2301,934,646,500,1318,339,152,16,1865,27116
"3045, VIC",25,3,0,0,0,0,0,0,3,0,71,100
"3046, VIC",18699,784,2941,2503,1132,732,4196,278,231,20,2539,34061
"3047, VIC",9610,317,798,4407,802,168,1996,153,352,10,2294,20901
"3048, VIC",8973,222,681,4788,816,54,705,138,205,10,1443,18025
"3049, VIC",6643,296,685,482,189,38,250,61,37,7,588,9266
"3050, VIC",33,3,5,6,0,0,10,0,0,0,59,119
"3051, VIC",6563,659,386,294,1282,2473,415,446,522,13,1891,14939
"3052, VIC",2801,277,166,120,485,629,227,158,70,3,751,5697
"3053, VIC",5411,664,545,391,2907,5018,742,460,609,19,1779,18538
"3054, VIC",6067,583,392,79,204,147,77,212,103,8,574,8426
"3055, VIC",9057,591,1155,325,498,409,681,316,160,8,946,14160
"3056, VIC",15790,1399,1866,587,781,786,806,566,185,10,1693,24475
"3057, VIC",7486,698,835,248,407,365,295,285,104,5,771,11502
"3058, VIC",21273,1301,3488,1599,945,853,1561,494,233,23,2025,33783
"3059, VIC",10296,306,1464,1520,325,109,589,107,95,6,647,15466
"3060, VIC",6541,202,2043,1148,412,137,2370,73,77,8,1030,14040
"3061, VIC",2230,51,590,1321,95,36,221,27,27,3,451,5059
"3062, VIC",0,0,0,0,0,0,0,0,0,0,0,0
"3063, VIC",443,14,39,7,6,0,8,0,0,0,50,574
"3064, VIC",41737,1129,2489,11127,2785,458,10128,505,882,40,4169,75458
"3065, VIC",5873,773,349,242,557,377,110,269,328,11,1559,10447
"3066, VIC",4720,552,251,209,603,332,77,241,342,13,1172,8512
"3067, VIC",4819,560,238,76,740,403,197,251,80,3,819,8199
"3068, VIC",13378,1286,894,156,392,299,123,397,229,9,1510,18665
"3070, VIC",17514,1389,1918,222,554,396,281,384,232,8,1668,24567
"3071, VIC",12474,821,1837,347,448,298,637,279,138,5,1288,18569
"3072, VIC",19605,1042,3245,964,1579,1453,1574,407,401,24,2558,32848
"3073, VIC",27844,1087,6126,2246,2018,2109,3737,511,564,40,4202,50479
"3074, VIC",8817,218,4163,1654,1552,404,1840,86,123,19,1635,20522
"3075, VIC",10438,287,4199,1945,1522,387,1839,95,196,13,1677,22594
"3076, VIC",18298,613,2893,1755,1375,574,4246,170,408,3,2043,32395
"3078, VIC",8434,625,707,91,249,276,248,198,70,7,725,11638
"3079, VIC",11496,767,845,194,405,715,448,234,122,3,764,15990
"3081, VIC",8207,447,572,414,650,497,548,137,597,12,1338,13424
"3082, VIC",18374,606,3414,1351,1415,907,1531,204,228,21,1658,29713
"3083, VIC",16862,791,2612,1160,2013,3657,2060,221,306,27,1818,31526
"3084, VIC",18021,1249,1528,366,709,1125,786,255,236,30,1209,25514
"3085, VIC",10061,658,603,169,403,527,435,142,160,11,722,13882
"3086, VIC",572,19,0,19,49,24,93,21,20,0,86,908
"3087, VIC",6902,377,478,85,211,256,200,64,87,6,369,9033
"3088, VIC",21058,1405,1202,358,458,523,393,195,193,27,1088,26890
"3089, VIC",9786,784,263,50,113,67,74,78,111,0,404,11739
"3090, VIC",1993,89,112,18,29,3,15,11,5,0,88,2362
"3091, VIC",1309,67,74,5,6,3,24,0,0,0,104,1585
"3093, VIC",3131,222,137,46,39,91,29,36,16,0,144,3891
"3094, VIC",7379,571,173,46,101,113,76,111,40,6,343,8963
"3095, VIC",22474,1979,693,146,300,362,210,274,268,12,1054,27770
"3096, VIC",1607,171,26,7,17,8,8,11,8,0,100,1966
"3097, VIC",1144,116,29,3,14,11,8,8,13,0,100,1443
"3099, VIC",4087,351,50,18,27,13,11,36,14,0,263,4877
"3101, VIC",16334,1206,868,265,1238,1983,596,385,226,15,1498,24604
"3102, VIC",4594,297,335,79,272,422,161,75,49,3,345,6634
"3103, VIC",8922,618,497,193,991,2608,584,165,135,14,623,15343
"3104, VIC",12101,705,993,300,1449,3029,671,209,175,18,753,20404
"3105, VIC",6024,226,1540,313,624,1100,244,102,87,5,613,10877
"3106, VIC",9615,643,1246,749,825,1924,496,134,284,5,695,16620
"3107, VIC",7996,421,1280,434,792,1411,290,116,183,13,621,13557
"3108, VIC",9548,599,1737,847,1573,4520,594,177,268,19,948,20823
"3109, VIC",14024,902,1681,1176,2531,5415,921,177,407,43,1084,28357
"3111, VIC",7962,624,540,308,650,1078,277,125,194,8,587,12348
"3113, VIC",6644,615,235,65,86,149,69,81,100,11,419,8460
"3114, VIC",3093,260,114,14,47,72,35,19,46,0,117,3823
"3115, VIC",3177,270,48,7,28,27,12,20,34,0,172,3799
"3116, VIC",7553,865,283,57,222,137,132,71,106,4,437,9872
"3121, VIC",19563,1942,1178,299,2485,871,439,622,419,23,2650,30502
"3122, VIC",14728,1175,522,512,1405,1383,1446,486,234,14,1610,23508
"3123, VIC",9386,730,419,240,679,972,694,257,151,10,781,14319
"3124, VIC",15186,1285,710,191,907,1568,719,338,257,20,910,22091
"3125, VIC",7188,539,572,213,1206,3054,1164,130,187,14,759,15021
"3126, VIC",5525,500,201,48,245,806,175,113,85,3,353,8060
"3127, VIC",13186,986,362,105,763,1474,483,213,182,4,692,18445
"3128, VIC",9305,587,436,204,1629,5150,1011,175,132,14,1186,19832
"3129, VIC",10005,662,578,218,1216,3092,605,163,180,11,646,17374
"3130, VIC",21062,1491,903,383,1731,3358,1306,292,266,30,1357,32171
"3131, VIC",13381,916,723,337,1753,2492,1367,190,243,11,1076,22499
"3132, VIC",10641,772,449,259,894,1492,657,142,144,9,687,16148
"3133, VIC",13358,1162,809,270,1627,2663,1082,202,228,24,690,22119
"3134, VIC",23211,1949,830,403,1547,1742,1016,348,404,10,1325,32782
"3135, VIC",14653,1261,315,187,921,855,556,198,151,16,840,19954
"3136, VIC",33377,3180,704,345,1815,1088,842,338,515,26,2147,44373
"3137, VIC",10853,1233,176,62,361,84,163,71,108,0,764,13872
"3138, VIC",16838,1618,344,127,917,333,380,118,256,4,1033,21964
"3139, VIC",11469,1044,181,9,57,35,25,47,43,0,812,13722
"3140, VIC",13252,1329,345,34,193,95,217,109,151,9,810,16532
"3141, VIC",13760,2120,1026,386,1326,1945,777,766,361,42,2637,25149
"3142, VIC",8525,763,572,166,393,682,334,273,185,25,995,12912
"3143, VIC",6014,553,393,99,286,323,363,233,122,9,668,9052
"3144, VIC",7924,601,341,95,297,408,303,164,127,13,607,10885
"3145, VIC",15173,994,934,226,1088,2414,886,272,255,22,1028,23294
"3146, VIC",17955,1292,774,227,892,1275,1117,343,264,15,1100,25256
"3147, VIC",9534,658,506,234,627,1262,579,186,193,16,841,14634
"3148, VIC",4119,229,657,150,616,1268,759,114,140,16,582,8643
"3149, VIC",17897,1329,1678,384,2196,4992,2854,325,333,34,1588,33612
"3150, VIC",27496,2377,2589,1153,5759,10612,6498,456,778,76,2290,60082
"3151, VIC",5061,277,804,134,826,1811,760,85,97,16,400,10269
"3152, VIC",19140,1799,1063,407,3065,3492,2245,248,395,15,1213,33089
"3153, VIC",14017,1337,467,231,991,932,908,176,239,13,1251,20552
"3154, VIC",3501,475,64,22,33,26,27,14,27,0,242,4418
"3155, VIC",15991,1691,475,186,669,743,840,178,201,10,1220,22193
"3156, VIC",27798,2727,950,338,1196,935,1043,323,403,15,1727,37458
"3158, VIC",5387,616,98,9,64,50,46,53,47,4,264,6648
"3159, VIC",2075,249,30,3,13,10,12,33,19,0,195,2652
