,postcode,average_salary
137,"2158, NSW",812.50
138,"2159, NSW",784.51
139,"2160, NSW",481.16
140,"2161, NSW",422.84
141,"2162, NSW",450.53
142,"2163, NSW",358.88
143,"2164, NSW",487.54
144,"2165, NSW",410.57
145,"2166, NSW",409.87
146,"2167, NSW",581.49
147,"2168, NSW",435.34
148,"2170, NSW",506.49
149,"2171, NSW",593.55
150,"2172, NSW",862.77
151,"2173, NSW",711.80
152,"2174, NSW",614.88
153,"2175, NSW",640.57
154,"2176, NSW",525.14
155,"2177, NSW",475.50
156,"2178, NSW",587.80
157,"2179, NSW",553.07
158,"2190, NSW",428.11
159,"2191, NSW",587.98
160,"2192, NSW",502.80
161,"2193, NSW",712.81
162,"2194, NSW",491.08
163,"2195, NSW",376.83
164,"2196, NSW",450.89
165,"2197, NSW",475.49
166,"2198, NSW",525.56
167,"2199, NSW",455.25
168,"2200, NSW",438.81
169,"2203, NSW",845.67
170,"2204, NSW",787.37
171,"2205, NSW",681.71
172,"2206, NSW",684.73
173,"2207, NSW",609.38
174,"2208, NSW",628.34
175,"2209, NSW",594.60
176,"2210, NSW",617.84
177,"2211, NSW",635.53
178,"2212, NSW",612.90
179,"2213, NSW",671.15
180,"2214, NSW",656.07
181,"2216, NSW",639.77
182,"2217, NSW",677.02
183,"2218, NSW",628.87
184,"2219, NSW",742.57
185,"2220, NSW",556.13
186,"2221, NSW",740.19
187,"2222, NSW",658.54
188,"2223, NSW",797.44
189,"2224, NSW",742.95
190,"2225, NSW",874.75
191,"2226, NSW",810.76
192,"2227, NSW",824.39
193,"2228, NSW",735.28
194,"2229, NSW",816.77
195,"2230, NSW",915.51
196,"2231, NSW",658.31
197,"2232, NSW",784.17
198,"2233, NSW",740.90
199,"2234, NSW",823.94
200,"2250, NSW",629.31
201,"2251, NSW",663.20
202,"2256, NSW",597.78
203,"2257, NSW",598.14
204,"2258, NSW",674.70
205,"2259, NSW",556.25
206,"2260, NSW",753.24
207,"2261, NSW",578.87
208,"2262, NSW",508.90
209,"2263, NSW",506.60
210,"2264, NSW",572.91
211,"2265, NSW",568.21
212,"2267, NSW",627.92
213,"2278, NSW",600.84
214,"2280, NSW",652.55
215,"2281, NSW",612.21
216,"2282, NSW",718.18
217,"2283, NSW",611.42
218,"2284, NSW",597.33
219,"2285, NSW",613.59
220,"2286, NSW",558.73
221,"2287, NSW",609.24
222,"2289, NSW",726.04
223,"2290, NSW",664.80
224,"2291, NSW",899.66
225,"2292, NSW",697.12
226,"2293, NSW",825.72
227,"2294, NSW",731.71
228,"2295, NSW",624.60
229,"2296, NSW",749.42
230,"2297, NSW",636.60
231,"2298, NSW",587.53
232,"2299, NSW",587.78
233,"2300, NSW",963.16
234,"2302, NSW",811.73
235,"2303, NSW",748.37
236,"2304, NSW",612.77
237,"2305, NSW",752.57
238,"2306, NSW",354.54
239,"2307, NSW",523.91
240,"2308, NSW",209.50
241,"2311, NSW",528.63
242,"2312, NSW",464.68
243,"2314, NSW",770.07
244,"2315, NSW",597.44
245,"2316, NSW",562.98
246,"2317, NSW",575.30
247,"2318, NSW",609.95
248,"2319, NSW",508.20
249,"2320, NSW",630.08
250,"2321, NSW",646.86
251,"2322, NSW",587.65
252,"2323, NSW",611.99
253,"2324, NSW",540.71
254,"2325, NSW",512.92
255,"2326, NSW",500.11
256,"2327, NSW",497.45
257,"2328, NSW",612.78
258,"2329, NSW",505.87
259,"2330, NSW",677.24
260,"2331, NSW",1027.52
261,"2333, NSW",615.84
262,"2334, NSW",572.80
263,"2335, NSW",676.02
264,"2336, NSW",626.43
265,"2337, NSW",634.45
266,"2338, NSW",524.06
267,"2339, NSW",495.09
268,"2340, NSW",580.04
269,"2341, NSW",459.35
270,"2342, NSW",569.57
271,"2343, NSW",540.18
272,"2344, NSW",607.47
273,"2345, NSW",593.23
274,"2346, NSW",455.60
275,"2347, NSW",435.95
276,"2350, NSW",592.15
277,"2351, NSW",174.39
278,"2352, NSW",553.04
279,"2353, NSW",507.07
280,"2354, NSW",538.06
281,"2355, NSW",434.38
282,"2356, NSW",414.38
283,"2357, NSW",466.41
284,"2358, NSW",516.64
285,"2359, NSW",398.64
286,"2360, NSW",486.11
287,"2361, NSW",387.73
288,"2365, NSW",490.87
289,"2369, NSW",406.26
290,"2370, NSW",458.37
291,"2371, NSW",399.91
292,"2372, NSW",464.07
293,"2379, NSW",585.13
294,"2380, NSW",614.68
295,"2381, NSW",529.10
296,"2382, NSW",555.26
297,"2386, NSW",503.37
298,"2387, NSW",622.86
299,"2388, NSW",490.51
300,"2390, NSW",580.77
301,"2395, NSW",428.14
302,"2396, NSW",463.41
303,"2397, NSW",588.22
304,"2398, NSW",502.12
305,"2399, NSW",539.30
306,"2400, NSW",571.13
307,"2401, NSW",545.48
308,"2402, NSW",468.28
309,"2403, NSW",414.62
310,"2404, NSW",440.36
311,"2405, NSW",612.50
312,"2408, NSW",666.40
313,"2409, NSW",358.28
314,"2410, NSW",456.94
315,"2411, NSW",392.77
316,"2415, NSW",481.79
317,"2420, NSW",540.09
318,"2421, NSW",654.86
319,"2422, NSW",495.06
320,"2423, NSW",465.28
321,"2424, NSW",407.52
322,"2425, NSW",573.23
323,"2426, NSW",418.32
324,"2427, NSW",503.19
325,"2428, NSW",501.68
326,"2429, NSW",465.89
327,"2430, NSW",489.79
328,"2431, NSW",519.69
329,"2439, NSW",484.95
