INCP Total Personal Income (weekly),Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Not applicable,Total
"3540, VIC",5,20,11,15,38,38,27,18,21,14,11,4,0,0,3,35,30,286
"3542, VIC",0,12,7,20,19,13,12,14,7,4,3,0,3,0,3,12,25,155
"3544, VIC",3,23,3,13,24,15,16,18,24,14,6,6,3,4,0,30,46,249
"3546, VIC",0,15,7,31,46,39,19,22,33,22,10,13,8,8,7,49,68,403
"3549, VIC",40,222,80,173,252,250,238,274,242,195,84,58,47,35,31,564,733,3527
"3550, VIC",115,2040,1564,2921,3301,3360,3030,2934,2926,2622,1805,1357,835,1062,597,3162,6719,40341
"3551, VIC",69,1633,1191,1476,1767,1644,1888,1977,2093,2071,1493,1265,823,1011,398,1720,7031,29564
"3555, VIC",48,943,617,1261,1856,1768,1522,1603,1543,1252,750,504,319,345,128,1774,3442,19688
"3556, VIC",51,679,421,918,1168,1197,1044,1080,943,746,427,288,171,126,69,1174,2583,13087
"3557, VIC",3,44,41,50,58,49,55,57,67,41,42,21,25,16,3,48,168,785
"3558, VIC",3,48,35,68,110,80,87,60,64,59,27,19,15,13,7,82,142,916
"3559, VIC",0,26,30,39,56,43,46,35,41,31,13,14,3,13,3,51,98,545
"3561, VIC",35,262,160,287,434,393,342,304,319,280,151,117,93,91,33,364,781,4434
"3562, VIC",0,19,4,11,20,13,22,26,19,22,16,7,0,0,0,38,51,278
"3563, VIC",9,44,36,59,75,74,56,63,57,54,40,18,10,10,13,50,155,808
"3564, VIC",64,707,548,925,1352,1303,1248,1210,1248,1093,590,488,310,307,186,1456,2892,15944
"3565, VIC",4,7,10,7,3,10,9,9,9,0,0,0,0,6,0,4,23,107
"3566, VIC",9,34,22,28,47,48,47,31,34,36,19,12,3,7,0,66,111,556
"3567, VIC",3,34,24,37,77,43,61,58,45,45,20,12,3,4,0,61,122,654
"3568, VIC",18,159,111,209,320,302,247,239,229,172,95,67,33,46,30,233,439,2948
"3570, VIC",7,59,25,47,85,56,56,62,57,45,23,16,4,14,3,45,145,752
"3571, VIC",6,20,12,20,41,25,25,16,25,11,6,6,5,3,0,37,55,319
"3572, VIC",5,7,7,11,13,4,10,15,6,10,4,8,0,8,0,15,35,151
"3573, VIC",0,16,10,27,35,27,24,32,17,19,7,4,3,0,0,34,75,331
"3575, VIC",18,67,21,36,60,80,82,52,51,53,12,19,10,3,7,67,153,807
"3576, VIC",0,7,5,3,5,11,5,4,3,6,3,0,0,0,0,5,21,72
"3579, VIC",44,252,199,361,563,580,466,415,372,319,146,110,62,58,46,479,901,5362
"3580, VIC",8,47,38,97,121,106,83,87,69,47,24,15,16,12,0,75,145,990
"3581, VIC",3,6,12,19,16,17,15,12,6,3,8,3,0,4,5,19,22,163
"3583, VIC",5,15,8,14,15,17,9,21,5,9,3,0,8,4,0,19,45,208
"3584, VIC",8,60,41,69,84,84,61,80,94,56,30,28,15,14,13,166,240,1139
"3585, VIC",43,509,409,636,868,872,870,902,821,745,431,325,151,196,105,1225,2108,11205
"3586, VIC",6,34,30,59,44,46,51,75,49,60,29,25,10,15,8,114,167,825
"3588, VIC",0,22,19,34,26,17,34,31,27,26,7,3,4,6,9,20,70,359
"3589, VIC",3,18,12,24,26,21,21,37,16,25,9,9,11,3,0,52,71,347
"3590, VIC",0,26,11,16,30,24,15,30,20,26,5,9,3,6,0,32,79,335
"3591, VIC",0,8,11,15,5,11,12,10,8,15,7,3,6,3,4,10,31,164
"3594, VIC",3,26,15,37,50,44,37,32,33,49,10,9,5,3,3,87,83,529
"3595, VIC",8,33,22,50,89,61,43,38,38,20,8,13,3,0,4,120,111,665
"3596, VIC",0,8,0,8,3,7,4,10,9,6,0,0,4,3,4,13,17,96
"3597, VIC",8,24,12,26,34,39,31,25,37,30,11,13,9,9,6,51,51,413
"3599, VIC",0,9,5,0,15,11,9,7,9,11,6,3,0,0,0,24,22,133
"3607, VIC",0,12,0,6,3,4,17,6,16,15,6,0,4,3,0,22,28,136
"3608, VIC",13,109,92,163,237,252,191,195,191,163,73,84,38,50,25,209,335,2417
"3610, VIC",19,74,48,93,126,167,96,91,91,88,50,37,23,19,10,422,261,1714
"3612, VIC",3,80,62,138,221,237,130,114,104,88,51,38,23,17,14,182,206,1708
"3614, VIC",4,44,35,35,59,37,60,73,45,71,46,38,34,25,9,51,200,882
"3616, VIC",27,277,172,323,426,462,371,359,354,371,236,165,102,122,45,516,1016,5353
"3617, VIC",0,10,11,8,17,14,17,7,5,7,3,3,0,8,0,16,19,163
"3618, VIC",5,43,22,55,76,60,49,57,45,42,24,4,13,9,4,52,114,675
"3620, VIC",56,457,257,478,810,721,653,632,554,566,295,218,118,127,62,780,1461,8241
"3621, VIC",11,137,98,115,219,229,196,191,163,147,67,46,30,37,28,162,498,2368
"3622, VIC",0,26,18,32,27,35,28,33,32,37,21,16,7,5,5,49,86,456
"3623, VIC",6,55,30,75,105,85,66,53,67,51,27,13,8,17,10,88,144,903
"3624, VIC",8,34,21,29,65,53,35,48,43,39,21,14,3,4,9,30,103,558
"3629, VIC",32,470,284,525,948,751,689,710,708,628,331,213,110,113,61,891,1657,9130
"3630, VIC",168,1794,1052,2233,2463,2360,2214,2147,2262,1934,1132,791,467,549,309,3067,6328,31266
"3631, VIC",47,634,494,521,732,765,759,851,814,891,587,490,308,363,187,713,2460,11610
"3633, VIC",6,37,22,23,32,37,35,45,54,44,35,17,17,9,6,55,141,604
"3634, VIC",11,113,63,94,130,140,135,105,144,131,78,51,47,39,15,161,353,1798
"3635, VIC",7,21,13,29,50,57,39,38,49,48,23,22,8,5,8,42,88,536
"3636, VIC",35,256,192,320,551,512,425,391,392,330,201,133,66,68,51,406,910,5241
"3637, VIC",11,29,26,26,61,45,45,59,44,50,31,4,5,11,8,23,124,593
"3638, VIC",18,78,98,134,203,187,165,147,160,119,78,55,34,27,35,178,366,2075
"3639, VIC",3,34,19,47,60,71,47,31,36,35,7,9,0,4,3,53,67,524
"3640, VIC",9,59,42,54,69,87,89,54,74,67,32,35,13,17,8,71,234,1000
"3641, VIC",9,71,53,68,116,82,82,65,90,91,35,42,19,12,4,126,258,1233
"3646, VIC",3,27,26,29,59,50,48,31,31,43,22,20,12,8,11,32,122,586
"3647, VIC",0,8,6,8,0,3,4,0,3,0,0,0,4,0,0,4,3,40
"3649, VIC",8,34,12,31,37,36,30,34,26,15,19,18,0,5,4,41,76,431
"3658, VIC",33,454,233,351,526,455,382,421,449,450,298,195,136,121,49,470,1198,6221
"3659, VIC",3,28,43,54,46,48,51,38,52,54,41,27,13,30,14,61,128,734
"3660, VIC",38,433,281,528,684,620,552,514,515,489,312,197,123,135,63,929,1161,7577
"3662, VIC",3,50,34,33,22,13,24,105,79,75,82,89,58,53,4,64,290,1075
"3663, VIC",0,12,4,6,10,14,14,14,12,9,9,3,3,3,6,17,43,180
"3664, VIC",8,69,36,58,83,89,77,76,62,66,47,38,26,31,20,101,187,1072
"3665, VIC",0,17,13,22,30,26,37,26,20,20,18,8,8,6,3,44,49,357
"3666, VIC",31,231,155,344,448,461,396,362,357,258,176,99,81,78,45,475,705,4700
"3669, VIC",15,60,54,96,150,121,99,79,86,70,42,43,30,14,16,182,159,1337
"3670, VIC",3,37,17,49,62,44,46,43,42,42,27,15,5,6,10,50,75,571
"3672, VIC",30,477,339,732,1095,1024,886,802,761,619,366,254,184,174,100,912,1592,10330
"3673, VIC",15,87,64,120,168,148,123,112,114,115,71,47,27,37,28,182,284,1729
"3675, VIC",8,103,72,110,126,116,131,140,136,133,95,59,40,50,16,146,318,1803
"3677, VIC",60,739,588,1078,1615,1782,1362,1454,1402,1186,676,491,302,296,157,1662,3246,18101
"3678, VIC",45,308,213,373,474,473,503,438,475,403,279,250,137,185,112,520,1174,6357
"3682, VIC",3,22,19,25,42,39,31,46,44,38,31,13,12,14,8,76,135,616
"3683, VIC",4,94,66,123,141,144,133,114,130,144,98,52,34,28,7,149,289,1760
"3685, VIC",4,127,110,157,210,220,210,189,209,225,120,111,53,52,27,221,471,2718
