INCP Total Personal Income (weekly),Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Not applicable,Total
"2000, NSW",204,3297,502,1112,1978,2201,1915,1599,1638,1676,1028,977,677,1456,1796,4115,1251,27411
"2006, NSW",9,267,275,291,98,47,31,5,3,11,9,9,3,4,11,156,15,1261
"2007, NSW",110,2300,325,494,536,525,494,429,442,483,278,255,180,342,196,1072,375,8846
"2008, NSW",104,2675,353,525,591,609,639,604,676,740,547,533,405,588,359,1359,407,11712
"2009, NSW",71,969,227,391,536,520,578,644,831,938,761,702,587,1347,1271,1254,1187,12813
"2010, NSW",96,1207,327,918,1317,1408,1212,1203,1662,2113,1837,1817,1374,2999,2769,4114,1347,27733
"2011, NSW",65,751,232,453,642,841,787,916,1191,1688,1394,1442,1096,2151,2085,4677,788,21199
"2015, NSW",31,420,156,247,291,305,400,432,663,895,875,828,625,1128,690,823,1110,9922
"2016, NSW",43,726,222,688,895,849,551,618,801,1000,937,868,616,1163,747,1572,911,13213
"2017, NSW",155,3564,511,1133,1339,1175,946,1004,1414,1779,1518,1489,1080,2002,954,2791,1829,24694
"2018, NSW",106,1808,490,895,1167,1119,935,1001,1131,1319,840,731,532,792,330,1226,2597,17028
"2019, NSW",35,721,253,376,510,516,509,575,720,817,684,593,460,676,283,871,2229,10840
"2020, NSW",78,1605,339,609,767,777,796,894,1100,1257,946,763,604,895,364,1009,1963,14771
"2021, NSW",59,733,281,340,427,480,604,542,754,1074,1031,973,742,1543,2200,1516,1998,15312
"2022, NSW",43,723,288,391,484,542,514,618,692,849,707,686,508,975,1169,1470,1838,12510
"2023, NSW",39,894,276,270,249,260,335,367,466,641,591,566,460,930,1576,854,1940,10719
"2024, NSW",42,621,254,301,368,413,417,444,597,666,566,580,447,910,1211,1209,2029,11073
"2025, NSW",24,427,153,166,220,248,266,254,378,436,389,425,339,655,1142,805,1092,7407
"2026, NSW",106,1446,607,851,1131,1289,1308,1531,1899,2347,2008,1942,1406,2980,3084,3890,4672,32489
"2027, NSW",21,449,120,175,196,198,253,289,352,526,459,478,401,834,1431,1101,900,8191
"2028, NSW",13,268,86,102,123,159,164,148,257,289,267,300,243,513,669,498,532,4643
"2029, NSW",36,682,242,262,282,383,386,433,534,698,526,584,407,771,1125,808,1795,9957
"2030, NSW",59,1357,385,423,442,412,509,523,637,784,604,606,517,980,1949,900,2992,14080
"2031, NSW",98,2265,901,1091,1269,1450,1453,1440,1892,2509,2346,2243,1647,2970,2688,2972,5509,34729
"2032, NSW",167,3405,585,948,1074,998,971,797,863,1021,688,609,446,670,485,1064,1893,16692
"2033, NSW",61,1525,301,485,527,553,699,586,728,841,638,540,416,703,573,933,1458,11573
"2034, NSW",49,1003,475,693,807,841,821,833,1132,1517,1333,1268,1059,1880,1774,1971,3256,20716
"2035, NSW",127,3281,1000,1595,1978,2072,1718,1807,2088,2488,1761,1604,1227,2061,1640,2349,5698,34496
"2036, NSW",123,2331,854,1502,1751,1808,1526,1558,1868,2011,1389,1288,884,1418,904,4070,5122,30411
"2037, NSW",69,1313,414,823,919,868,786,775,968,1144,870,907,640,1191,1154,1724,1551,16119
"2038, NSW",31,517,221,297,412,367,395,436,502,621,511,537,421,959,944,705,1564,9452
"2039, NSW",21,405,166,193,249,314,270,286,385,541,510,502,437,994,1233,712,1511,8726
"2040, NSW",56,1095,500,890,1034,946,913,898,1151,1353,1198,1215,976,2016,1872,1652,4465,22242
"2041, NSW",41,773,350,481,528,618,537,546,707,857,772,834,660,1535,2411,1307,2736,15687
"2042, NSW",58,1020,383,847,795,908,896,989,1343,1739,1354,1260,918,1787,1024,1874,1926,19128
"2043, NSW",19,313,122,211,221,247,275,300,458,698,655,708,549,1092,542,714,885,8014
"2044, NSW",28,440,154,347,455,444,396,448,557,610,519,510,369,605,245,548,1171,7840
"2045, NSW",15,495,217,300,427,383,325,283,335,395,284,277,181,419,552,361,1206,6453
"2046, NSW",97,1627,717,1204,1528,1462,1221,1270,1470,1729,1392,1397,1103,2158,1862,1781,4790,26822
"2047, NSW",34,665,265,385,489,482,480,484,645,837,663,692,588,1105,1179,1044,1906,11950
"2048, NSW",28,370,168,280,320,428,359,410,518,647,544,503,350,682,505,706,1110,7940
"2049, NSW",35,616,279,466,512,586,603,580,684,884,728,665,540,946,575,1045,1536,11278
"2050, NSW",51,972,191,328,348,400,386,354,522,656,627,584,490,957,606,806,678,8967
"2052, NSW",43,1398,388,394,218,191,187,104,75,69,30,27,14,16,10,255,20,3428
"2060, NSW",40,858,277,327,398,459,565,547,730,1047,913,996,798,1671,1698,1244,1423,13987
"2061, NSW",19,306,116,185,203,184,176,192,275,379,384,388,326,758,988,620,441,5943
"2062, NSW",18,366,146,167,207,222,263,266,318,464,438,439,381,745,906,379,1279,7004
"2063, NSW",22,503,258,191,189,192,256,237,281,313,258,290,220,421,1013,282,1423,6348
"2064, NSW",25,766,274,385,385,380,380,423,506,665,508,551,406,858,679,497,1832,9525
"2065, NSW",75,1794,676,797,813,983,1039,1200,1591,2160,1967,1979,1638,3569,3360,2070,4389,30116
"2066, NSW",92,2466,952,964,1081,1203,1213,1271,1664,2163,1812,1714,1424,2813,3087,1617,6086,31625
"2067, NSW",157,3766,884,1149,1229,1151,1189,1301,1454,1650,1303,1122,925,1795,1575,1436,4330,26404
"2068, NSW",52,1307,591,612,646,669,620,655,734,885,681,711,535,1218,2150,852,3908,16811
"2069, NSW",55,1318,566,499,473,518,563,511,739,737,627,608,455,992,1789,716,3069,14251
"2070, NSW",37,1334,605,525,464,480,571,555,626,755,610,586,480,1012,1526,518,2821,13504
"2071, NSW",72,1637,669,562,463,424,519,495,652,795,614,565,466,952,1466,645,2551,13550
"2072, NSW",13,931,362,293,278,274,331,313,368,406,346,346,273,568,689,491,1385,7666
"2073, NSW",49,1610,775,643,531,550,598,613,723,825,685,672,607,1309,1943,591,3636,16354
"2074, NSW",57,1992,956,901,904,969,998,921,1124,1250,901,932,753,1711,2379,1209,4312,22261
"2075, NSW",65,1982,815,817,731,841,894,833,1043,1188,935,897,711,1481,2115,836,4280,20456
"2076, NSW",90,2346,1007,1066,1029,1025,1123,1068,1193,1305,1124,1088,872,1848,2182,1385,4903,24653
"2077, NSW",121,3558,1394,1746,1820,2008,1894,2099,2445,2656,2007,1806,1412,2612,1045,1751,7411,37792
"2079, NSW",12,527,264,314,362,358,404,390,457,508,396,351,293,493,277,231,1472,7096
"2080, NSW",8,131,71,78,89,88,93,100,97,118,88,76,57,108,56,69,362,1704
"2081, NSW",6,391,232,258,249,242,308,277,306,376,279,269,212,402,218,180,1169,5365
"2082, NSW",13,336,208,235,269,265,285,339,351,371,277,281,190,358,180,210,1243,5399
"2083, NSW",4,105,44,66,88,101,96,115,130,93,75,77,39,100,60,111,215,1514
"2084, NSW",11,273,154,153,176,156,178,210,224,225,176,161,107,193,277,236,710,3625
"2085, NSW",31,758,473,509,589,721,632,659,660,733,516,484,368,738,761,698,2281,11624
"2086, NSW",36,983,544,536,583,597,689,676,820,857,650,551,469,908,902,470,3148,13417
"2087, NSW",37,971,559,570,633,677,676,602,634,684,539,506,427,855,983,487,2950,12796
"2088, NSW",81,2127,826,808,798,914,907,1053,1308,1601,1381,1463,1079,2440,4557,2133,5014,28476
"2089, NSW",32,581,218,271,310,394,432,467,635,905,842,803,664,1433,1380,1061,1503,11914
"2090, NSW",49,730,308,349,385,513,512,557,694,941,837,867,677,1479,1827,992,2006,13726
"2092, NSW",25,531,270,262,255,269,274,257,315,350,280,303,242,476,980,261,1809,7137
"2093, NSW",66,1494,730,757,812,852,1058,1013,1202,1425,1114,1023,751,1629,2376,1291,5286,22872
"2094, NSW",11,299,148,168,156,213,223,266,307,449,320,354,268,585,719,335,1030,5841
"2095, NSW",47,840,349,430,507,592,637,641,856,1119,925,946,754,1608,2003,1558,2058,15863
"2096, NSW",24,729,394,434,449,545,623,691,895,1107,892,858,636,1210,1276,1010,2873,14656
"2097, NSW",33,973,542,542,622,717,850,847,1032,1140,823,796,520,963,966,1027,3128,15531
"2099, NSW",130,2284,1219,1705,2038,2412,2382,2615,3032,3140,2246,1889,1312,2125,1554,2466,7377,39922
"2100, NSW",62,1390,793,837,1067,1118,1148,1195,1310,1443,1108,996,661,1292,1115,986,4394,20911
"2101, NSW",53,1025,595,742,893,1011,1079,1131,1339,1449,1164,1003,633,1189,936,1591,3565,19394
"2102, NSW",10,470,230,276,308,371,379,429,449,488,402,392,245,491,342,505,1710,7499
"2103, NSW",33,575,366,458,508,567,620,622,703,824,601,498,375,648,599,780,1894,10674
"2104, NSW",9,231,119,164,188,266,250,206,230,229,134,154,118,207,292,342,488,3620
"2105, NSW",9,127,66,66,65,76,96,92,99,133,89,98,62,147,167,167,290,1848
"2106, NSW",33,602,339,389,428,453,508,538,572,693,547,466,331,550,702,404,1746,9303
"2107, NSW",50,984,568,562,618,739,875,770,893,1016,743,694,500,901,1144,689,2926,14670
"2108, NSW",7,118,40,72,62,84,74,98,88,118,73,79,67,123,219,155,190,1672
"2109, NSW",32,723,186,278,163,175,174,122,125,158,110,118,77,134,47,296,187,3090
"2110, NSW",54,1072,324,340,378,394,445,361,416,501,404,412,321,653,1356,911,2015,10348
"2111, NSW",49,1006,453,607,732,742,622,696,792,995,830,766,594,1026,1093,824,2582,14415
"2112, NSW",145,3225,1059,1605,1766,1716,1681,1810,2145,2467,1725,1524,1162,1883,1306,1897,5733,32852
"2113, NSW",68,1775,602,895,1017,1110,891,928,1056,1323,974,930,760,1295,762,849,3150,18365
"2114, NSW",97,2584,806,1172,1213,1202,1226,1341,1580,2000,1425,1286,945,1501,747,956,3971,24059
"2115, NSW",53,968,382,637,730,622,565,546,651,752,534,470,293,493,199,646,2180,10738
"2116, NSW",33,686,243,402,459,375,339,369,438,487,347,266,211,293,91,319,1293,6640
"2117, NSW",101,2222,905,1239,1445,1231,1096,1185,1282,1524,1022,894,671,885,459,1129,4009,21288
"2118, NSW",119,3096,1070,1268,1294,1216,1335,1300,1446,1651,1185,1046,799,1345,617,983,4573,24340
"2119, NSW",25,1088,527,521,463,435,539,502,609,653,543,539,481,921,1017,570,2222,11646
"2120, NSW",62,1772,903,887,941,902,1031,989,1173,1295,1031,973,787,1553,1098,799,4002,20207
"2121, NSW",105,3745,1268,1340,1295,1280,1361,1289,1613,1924,1387,1346,1062,1991,1230,1053,4927,28215
"2122, NSW",151,4738,1220,1691,1806,1725,1721,1590,1861,2176,1521,1344,971,1727,771,1596,4547,31161
"2123, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2125, NSW",44,1645,767,739,711,662,740,807,859,1137,880,830,588,1230,1222,497,3024,16377
"2126, NSW",72,2183,846,915,955,838,864,893,1002,1182,923,873,696,1454,1064,585,3429,18768
"2127, NSW",69,1468,312,434,446,390,549,663,882,1244,958,928,693,1201,535,1307,2462,14535
"2128, NSW",19,224,58,146,100,109,129,144,178,190,135,114,44,84,21,1983,493,4166
"2129, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2130, NSW",18,409,172,278,307,417,338,400,491,611,468,448,330,550,392,543,1127,7306
"2131, NSW",115,2406,734,1225,1494,1822,1460,1548,1772,1880,1240,1053,770,1158,487,1748,2942,23839
"2132, NSW",59,1049,394,583,685,738,584,549,638,730,482,469,356,646,392,526,1756,10613
"2133, NSW",38,1001,396,591,744,705,621,626,785,770,598,449,337,549,240,561,2010,11014
"2134, NSW",161,3041,540,972,1152,1090,973,938,1093,1132,633,525,335,567,279,1021,1572,16033
"2135, NSW",148,3428,760,1162,1582,1525,1485,1448,1643,1850,1211,1111,748,1182,1062,1730,3191,25252
"2136, NSW",32,774,264,388,508,436,402,419,504,507,424,270,228,367,176,417,1244,7367
"2137, NSW",103,2270,833,1188,1442,1391,1305,1273,1630,1867,1476,1389,1014,1832,1517,1489,4480,26507
"2138, NSW",159,3202,569,768,857,796,912,1001,1312,1579,1060,1002,733,1313,762,1058,2925,20022
"2139, NSW",0,0,0,0,9,11,3,3,3,3,0,0,0,3,0,20,0,55
"2140, NSW",90,2078,449,741,774,781,850,1038,1171,1347,901,748,473,640,212,1431,2447,16161
"2141, NSW",233,4016,983,1905,2118,1985,1806,1966,2113,1891,1172,787,556,694,291,1689,4481,28675
"2142, NSW",196,2889,782,1911,1898,1657,1463,1643,1912,1669,1043,690,457,536,155,2140,5266,26297
"2143, NSW",49,1072,307,617,713,593,514,558,622,565,340,276,137,192,63,542,1771,8920
"2144, NSW",384,5241,1194,2953,3107,2627,2365,2493,2530,2080,1034,653,375,410,116,2561,7246,37370
"2145, NSW",336,7772,2451,4090,4781,4556,3917,4318,5354,5639,3946,3461,2377,3510,1025,4702,16978,79213
"2146, NSW",76,1690,573,923,1109,994,919,1068,1242,1349,947,762,539,660,199,853,3564,17467
"2147, NSW",176,3040,1301,2029,2446,2126,1998,2202,2694,2749,1862,1563,1000,1404,431,2189,7119,36346
"2148, NSW",323,5985,1946,3569,4336,3995,3458,4192,5167,5023,3052,2204,1387,1458,378,3715,12892,63074
"2150, NSW",133,3967,718,1442,1681,1485,1510,1715,2186,2359,1826,1576,1210,1536,387,2558,5212,31500
"2151, NSW",83,1968,670,1051,1158,1331,995,1115,1396,1532,1200,993,750,1120,469,1503,3972,21308
"2152, NSW",45,848,327,530,603,726,622,604,761,874,630,596,439,670,235,565,2118,11218
"2153, NSW",169,5005,2244,2578,2798,2738,2951,2842,3253,3861,3006,2801,2235,4005,2015,2108,11943,56556
"2154, NSW",114,3834,1592,1853,1808,1912,2058,2001,2166,2595,1948,1828,1422,2800,2088,1866,7713,39594
"2155, NSW",148,5021,1966,2060,2057,1931,2293,2504,3010,3706,2936,2977,2294,4152,2150,1953,14295,55447
"2156, NSW",40,994,493,622,685,695,771,695,747,807,664,627,478,760,865,573,2417,12941
"2157, NSW",15,272,143,186,211,213,211,204,274,221,161,171,105,171,147,287,742,3741
"2158, NSW",40,817,376,412,415,457,488,439,489,558,403,366,276,499,548,420,1569,8579
"2159, NSW",15,384,186,227,270,295,327,296,273,336,263,248,168,248,253,238,947,4976
"2160, NSW",316,3637,1343,2837,2774,2537,2054,2196,2428,2222,1430,909,531,703,229,2326,7497,35971
"2161, NSW",287,3113,1053,2567,2742,2106,1732,1815,1975,1700,1001,691,402,388,142,2296,7411,31420
"2162, NSW",113,2030,713,1448,1617,1290,1095,1086,1121,1085,655,430,270,330,82,1146,4114,18622
"2163, NSW",67,876,336,950,905,854,512,496,545,426,205,128,66,64,30,1264,1862,9592
"2164, NSW",116,1727,716,1689,1956,1517,1106,1209,1330,1232,768,542,294,335,99,1135,3857,19626
"2165, NSW",316,4160,1624,4450,4905,3499,2459,2417,2519,2075,1169,725,448,442,146,2649,8435,42438
"2166, NSW",478,6869,2079,4955,5282,4227,3103,3523,3360,2657,1404,871,500,489,214,2893,9862,52768
"2167, NSW",44,935,272,474,481,454,491,578,714,772,527,373,257,335,69,769,2095,9637
"2168, NSW",262,4326,1525,3522,3774,2882,2347,2778,2909,2527,1470,951,536,525,195,3172,9740,43451
"2170, NSW",531,9802,3261,7004,7793,6791,5613,6268,6910,6959,4274,3216,2111,2332,885,8411,23289,105455
"2171, NSW",118,3422,1111,1757,1822,1476,1703,1928,2442,2652,1805,1505,1014,1245,404,1600,8853,34865
"2172, NSW",9,237,82,97,113,94,116,123,168,200,164,159,137,224,130,108,621,2779
"2173, NSW",44,1285,485,552,575,523,611,792,989,1189,1008,778,648,738,232,627,3365,14432
"2174, NSW",3,273,45,76,78,72,93,106,147,174,141,103,75,91,36,134,614,2267
"2175, NSW",6,146,51,117,144,127,118,118,130,125,82,80,46,51,49,142,316,1837
"2176, NSW",306,4834,1804,3897,4738,3377,2684,2887,3301,3181,2046,1456,864,1037,383,2474,8533,47812
"2177, NSW",103,1815,631,1379,1536,1119,926,1049,1089,1007,609,402,223,235,85,682,3096,15980
"2178, NSW",35,353,135,221,277,208,245,286,319,285,198,172,99,113,75,473,745,4234
"2179, NSW",33,525,184,314,575,410,386,402,435,468,310,239,130,168,66,654,1237,6529
"2190, NSW",173,2832,967,1985,2220,1779,1426,1329,1386,1287,764,584,351,421,189,1723,6153,25571
"2191, NSW",29,619,221,381,543,463,357,351,397,401,275,257,143,221,94,302,1270,6317
"2192, NSW",68,1330,422,868,1112,937,799,838,955,846,476,352,211,231,79,935,2252,12713
"2193, NSW",66,1335,511,814,1072,919,853,924,1057,1146,793,664,523,776,392,898,2505,15254
"2194, NSW",168,3344,820,1839,1970,1713,1777,1782,1813,1687,910,573,361,380,132,1526,3744,24538
"2195, NSW",182,3427,831,2118,2063,1997,1679,1676,1618,1336,635,409,259,251,80,1848,6747,27148
"2196, NSW",256,3559,1101,2374,2690,2273,1829,1885,1941,1750,1143,733,484,512,194,2002,7102,31813
"2197, NSW",59,946,318,642,830,671,511,554,560,514,316,202,132,200,75,481,2068,9067
"2198, NSW",53,752,281,538,675,584,523,529,588,569,360,275,169,256,102,794,1999,9039
"2199, NSW",123,1868,644,1368,1509,1353,1118,1056,1087,1069,655,394,257,272,119,1144,3985,18016
"2200, NSW",311,4906,1408,3369,3595,2872,2539,2675,2755,2407,1425,1002,590,660,236,3175,9771,43688
"2203, NSW",68,787,377,583,786,723,684,743,917,1120,910,776,607,981,489,1009,2151,13707
"2204, NSW",80,1651,636,1409,1833,1786,1465,1523,1860,1953,1569,1342,1031,1711,768,2139,3770,26499
"2205, NSW",132,2204,505,910,1248,1142,1139,1255,1475,1581,1101,839,563,936,320,1490,2609,19447
"2206, NSW",75,1616,643,1042,1544,1258,999,1006,1112,1346,932,833,612,980,528,1307,3569,19407
"2207, NSW",130,2581,975,1576,1935,1909,1598,1542,1859,1918,1338,1127,772,1091,489,2482,5213,28536
"2208, NSW",46,1171,446,779,1078,830,720,701,816,819,593,491,316,507,232,659,2247,12450
"2209, NSW",74,1727,549,1038,1208,1098,944,1026,1068,1069,694,605,400,545,196,816,2727,15772
"2210, NSW",150,2875,1111,1973,2466,2205,1879,1820,1939,1960,1347,1146,818,1155,579,1901,5266,30582
"2211, NSW",70,1580,571,929,1266,1255,1012,1052,1186,1296,844,679,460,655,232,890,2862,16845
"2212, NSW",66,1369,530,931,1157,1123,908,975,1138,1120,789,611,416,573,214,903,3027,15846
"2213, NSW",83,1704,732,1181,1430,1388,1272,1291,1430,1607,1077,937,719,1008,441,1081,4411,21788
"2214, NSW",12,295,141,212,279,213,262,252,291,298,212,166,130,175,48,152,797,3952
"2216, NSW",173,2730,735,1373,1973,2033,1762,2098,2326,2251,1334,1052,665,991,445,2071,4043,28065
"2217, NSW",125,2521,778,1330,1719,1781,1618,1707,2026,2071,1393,1197,808,1148,528,1565,4528,26846
"2218, NSW",75,1772,559,979,1209,1035,1023,1083,1275,1245,779,675,424,601,226,813,2659,16425
"2219, NSW",48,984,340,668,866,865,811,748,974,968,682,619,436,630,463,885,2209,13196
"2220, NSW",177,5558,1250,1903,2251,2112,1968,2109,2395,2268,1297,967,629,932,450,1601,4625,32487
"2221, NSW",60,1724,666,797,934,888,906,887,1004,1113,802,720,528,823,744,821,3056,16482
"2222, NSW",47,1315,458,711,779,812,792,876,1017,962,655,496,347,494,260,665,2105,12790
"2223, NSW",120,1794,748,897,1087,1056,1126,1196,1433,1596,1179,980,773,1306,865,982,3792,20903
"2224, NSW",49,1081,449,678,853,836,903,868,946,997,715,662,443,701,552,891,2577,14209
"2225, NSW",16,361,202,226,228,267,251,253,279,353,235,292,215,442,338,176,1290,5408
"2226, NSW",27,774,450,562,624,669,618,640,773,871,602,623,489,868,582,615,2720,12505
"2227, NSW",40,862,578,619,801,866,796,808,859,1044,840,766,570,970,662,616,2910,14622
"2228, NSW",45,1173,566,841,1117,1197,1086,1215,1211,1288,988,881,648,958,542,1251,3344,18364
"2229, NSW",82,1775,1017,1136,1480,1700,1659,1760,1849,1941,1562,1425,1075,1819,1352,1593,5488,28712
"2230, NSW",79,1524,865,1049,1260,1519,1543,1657,2040,2440,1864,1802,1249,1948,1602,2050,4353,28842
"2231, NSW",4,185,51,96,100,109,143,144,154,177,114,101,76,97,44,98,570,2269
"2232, NSW",107,1888,1107,1432,1812,1999,1838,1868,2213,2570,1932,1764,1318,2032,991,1773,6222,32870
"2233, NSW",62,1718,1122,1331,1525,1617,1800,1746,1990,2211,1692,1550,1170,1718,656,1181,6415,29497
"2234, NSW",82,2178,1310,1380,1533,1590,1682,1678,2011,2438,1728,1717,1196,2052,1217,1134,5648,30579
"2250, NSW",205,4376,2466,3722,4891,5127,4573,4438,4740,4627,3010,2593,1836,2461,1137,4734,12262,67195
"2251, NSW",86,1940,1254,1719,2448,2659,2399,2067,2122,2171,1429,1413,1031,1319,696,1820,6116,32708
"2256, NSW",45,913,508,1019,1536,1658,1172,1031,1070,897,630,471,352,499,241,1220,2329,15603
"2257, NSW",105,1709,879,1736,2724,2818,2299,1967,1913,1873,1120,947,631,908,447,2123,4825,29009
"2258, NSW",12,349,208,263,324,321,333,350,402,372,291,218,143,218,103,241,1019,5167
"2259, NSW",257,3711,2000,3524,5517,5014,4068,3979,4072,3805,2294,1901,1316,1592,604,3895,11963,59513
"2260, NSW",58,1497,884,1104,1360,1447,1459,1472,1553,1629,1224,1083,871,1211,845,1159,4575,23418
"2261, NSW",167,2879,1754,3044,4495,4744,3976,3623,3853,3560,2257,1780,1159,1361,587,3853,9646,52751
"2262, NSW",70,1287,611,1340,2186,1853,1608,1507,1478,1291,774,510,329,361,126,1281,4222,20828
"2263, NSW",78,1271,664,1602,2517,2553,1901,1848,1585,1452,800,596,375,394,172,2408,4048,24263
"2264, NSW",41,902,449,933,1387,1425,1156,963,950,914,522,436,304,373,174,964,2346,14233
"2265, NSW",28,387,235,410,442,503,419,341,351,353,244,208,135,179,67,521,986,5809
"2267, NSW",17,173,72,174,294,244,239,225,170,188,106,99,62,90,46,164,396,2757
"2278, NSW",12,177,109,146,188,166,181,194,220,207,122,93,54,79,20,104,517,2571
"2280, NSW",87,1576,990,1512,2248,2248,1994,1691,1758,1865,1162,982,747,1024,569,1416,4814,26682
"2281, NSW",41,889,507,949,1478,1449,1066,907,865,926,551,496,342,488,229,849,2241,14273
"2282, NSW",38,838,663,786,1130,994,958,941,1007,1041,679,637,480,750,425,706,2700,14775
"2283, NSW",62,1438,830,1532,2228,2011,1687,1590,1558,1529,949,781,565,695,439,1584,3815,23297
"2284, NSW",30,655,349,680,964,979,822,733,727,709,420,342,249,307,140,637,1747,10498
"2285, NSW",64,1784,961,1619,2342,2409,1967,2067,2250,2276,1493,1294,807,1036,295,1472,6583,30715
"2286, NSW",18,236,131,228,369,307,267,292,277,297,173,126,81,90,25,195,799,3909
"2287, NSW",112,2582,1229,2200,2907,2801,2389,2388,2542,2443,1676,1358,940,1316,459,1890,7152,36400
"2289, NSW",39,1009,748,1014,1368,1312,1231,1109,1299,1358,1005,908,692,1055,436,753,3776,19118
"2290, NSW",87,1784,1136,1794,2781,2862,2290,2188,2232,2356,1522,1304,971,1427,659,1712,6305,33422
"2291, NSW",31,590,459,618,716,778,786,801,884,979,752,694,471,950,841,712,2355,13413
"2292, NSW",4,118,78,139,185,194,162,174,177,207,114,129,85,112,32,113,438,2465
"2293, NSW",10,119,64,137,148,174,180,180,182,204,192,134,85,168,65,162,326,2521
"2294, NSW",4,80,49,115,139,153,133,139,142,155,115,104,77,96,21,134,278,1929
"2295, NSW",24,319,180,379,713,577,484,434,393,392,286,259,191,288,125,884,1004,6925
"2296, NSW",4,80,40,119,126,135,141,119,157,142,126,100,73,88,33,121,285,1883
"2297, NSW",4,96,38,117,119,125,101,109,109,111,79,68,51,77,22,129,314,1683
"2298, NSW",34,561,304,735,750,828,629,595,655,608,446,350,255,285,91,973,1400,9499
"2299, NSW",53,886,381,929,1028,895,754,670,694,773,447,405,271,348,149,512,2018,11205
"2300, NSW",28,472,279,522,634,641,643,620,707,837,656,626,475,787,676,952,1033,10579
"2302, NSW",6,32,18,33,36,39,35,37,35,44,40,38,24,31,15,84,17,565
"2303, NSW",23,433,349,618,741,783,533,530,589,597,409,364,283,492,360,674,1368,9145
"2304, NSW",45,821,426,1033,1343,1320,1072,997,1128,1129,762,606,396,479,107,1210,2285,15177
"2305, NSW",24,680,480,621,757,854,762,778,789,889,635,562,421,688,451,610,2497,12506
"2306, NSW",21,159,86,337,530,380,217,192,181,111,30,27,10,19,14,313,735,3359
"2307, NSW",9,281,107,336,416,398,300,267,274,302,158,102,55,60,14,177,640,3905
"2308, NSW",17,374,192,381,103,82,59,25,5,11,0,0,0,6,6,69,0,1327
"2311, NSW",4,66,37,59,67,71,73,54,48,47,35,14,15,22,15,73,157,861
"2312, NSW",9,84,67,110,164,140,129,107,90,74,47,22,15,21,8,85,279,1453
"2314, NSW",0,0,0,0,0,0,0,13,16,31,27,8,8,13,0,89,0,203
"2315, NSW",44,767,516,949,1331,1334,1207,993,933,972,552,448,328,441,253,1433,2165,14655
"2316, NSW",18,328,214,379,589,530,473,358,357,323,225,168,123,173,81,545,963,5846
"2317, NSW",17,283,206,383,634,674,585,470,399,356,224,183,112,139,104,492,969,6241
"2318, NSW",41,760,417,655,905,759,725,749,797,794,621,534,334,438,160,848,2612,12149
"2319, NSW",18,423,216,452,815,689,502,407,425,384,206,188,99,136,49,493,1186,6685
"2320, NSW",108,2017,1094,2077,2575,2438,2096,2141,2300,2120,1374,1246,903,1569,710,2115,7684,34559
"2321, NSW",34,962,495,742,1015,923,901,934,984,980,659,596,452,679,252,741,3279,14624
"2322, NSW",54,1114,652,1153,1585,1319,1195,1293,1366,1267,848,651,427,538,211,918,3872,18453
"2323, NSW",74,1567,973,1497,2057,1941,1684,1612,1781,1692,1106,925,687,972,389,1570,5213,25736
"2324, NSW",100,1334,783,1630,2300,2207,1839,1670,1525,1533,841,704,424,514,234,1796,4212,23651
"2325, NSW",92,1569,840,1855,2731,2567,1926,1772,1615,1511,845,684,485,814,355,3184,5618,28459
"2326, NSW",41,431,247,537,769,647,465,485,450,421,266,183,121,169,45,557,1504,7333
"2327, NSW",11,427,242,547,832,767,559,562,515,427,256,162,132,133,40,630,1375,7610
"2328, NSW",16,160,93,123,199,162,139,139,157,154,86,79,53,137,38,211,497,2438
"2329, NSW",23,104,75,115,188,195,131,133,134,122,57,40,29,70,23,254,421,2111
"2330, NSW",83,1484,716,1081,1316,1242,1109,1130,1059,1074,756,716,628,1380,576,1592,4399,20349
"2331, NSW",0,0,0,0,0,4,24,126,62,43,27,16,16,9,0,4,0,318
"2333, NSW",57,872,425,818,871,850,817,751,725,641,500,429,373,829,273,1273,3149,13645
"2334, NSW",7,201,97,195,212,173,147,175,169,163,119,82,64,131,36,148,715,2829
"2335, NSW",24,386,200,312,339,358,368,359,365,377,246,231,192,402,141,416,1451,6156
"2336, NSW",8,156,79,151,194,180,137,149,170,145,94,98,66,156,41,226,556,2614
"2337, NSW",27,406,241,377,536,567,467,571,555,488,270,236,194,392,180,722,1651,7889
"2338, NSW",11,93,33,98,149,149,120,91,80,63,36,31,24,40,24,154,240,1432
"2339, NSW",3,37,17,44,58,36,48,39,50,34,25,12,8,15,12,91,127,677
"2340, NSW",190,2290,1472,2603,3597,3675,3359,3649,3961,3479,1989,1530,1106,1392,578,3983,10220,49070
