OCCP - 1 Digit Level,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
"2472, NSW",111,90,121,99,65,59,68,110,9,10,1124,1855
"2473, NSW",119,206,166,169,105,99,81,139,8,18,1990,3092
"2474, NSW",414,339,292,253,246,189,181,349,13,32,4030,6332
"2475, NSW",31,14,4,6,12,5,20,17,3,5,276,386
"2476, NSW",80,31,32,33,27,21,25,59,5,0,467,780
"2477, NSW",705,1127,685,569,638,497,269,550,39,52,7076,12207
"2478, NSW",1449,2639,1637,1458,1344,1311,488,1219,91,93,16580,28316
"2479, NSW",469,557,264,246,199,189,73,184,28,18,2511,4735
"2480, NSW",2180,3826,2453,2343,2363,1969,1018,2311,138,124,25854,44596
"2481, NSW",895,1324,691,673,472,524,168,454,50,45,6467,11770
"2482, NSW",299,578,372,268,218,232,107,274,26,7,3893,6276
"2483, NSW",534,963,742,572,462,435,193,514,29,47,6118,10604
"2484, NSW",955,1236,1150,850,841,661,542,932,62,73,11579,18874
"2485, NSW",491,740,814,781,587,611,295,641,42,48,9334,14375
"2486, NSW",1202,1876,1925,1830,1600,1578,691,1443,116,95,19237,31594
"2487, NSW",714,1280,783,725,680,573,220,552,52,40,7820,13430
"2488, NSW",143,312,261,205,158,158,68,191,9,9,1760,3262
"2489, NSW",293,550,474,386,374,264,134,294,24,22,4531,7353
"2490, NSW",54,44,48,45,39,33,20,30,0,0,344,667
"2500, NSW",1887,5243,2030,2280,2293,1628,733,1345,166,99,22800,40512
"2502, NSW",260,503,689,495,466,436,393,650,36,44,8459,12433
"2505, NSW",124,292,311,215,264,171,154,259,17,10,3187,5008
"2506, NSW",191,333,479,376,360,327,284,413,29,33,4766,7608
"2508, NSW",569,1131,809,557,663,368,242,320,38,30,4240,8975
"2515, NSW",806,1932,654,534,647,362,159,258,47,21,5711,11110
"2516, NSW",415,856,404,384,349,197,114,185,23,15,3173,6108
"2517, NSW",705,1538,934,809,832,455,355,424,48,42,7596,13732
"2518, NSW",772,1713,1292,1105,1138,638,559,772,88,61,10922,19066
"2519, NSW",842,1831,975,862,983,683,400,601,80,47,9630,16931
"2522, NSW",3,16,3,26,4,23,0,10,0,0,215,300
"2525, NSW",612,1375,723,566,721,460,294,365,47,28,6372,11564
"2526, NSW",722,1615,1161,770,1060,651,465,619,49,37,8478,15629
"2527, NSW",879,1242,1830,1325,1331,1052,1011,1052,77,67,11525,21381
"2528, NSW",671,1056,1516,1167,1084,992,834,1127,77,73,15182,23773
"2529, NSW",1227,2062,2007,1513,1701,1395,934,1108,128,59,13893,26021
"2530, NSW",1258,1954,2434,1830,2085,1427,1233,1451,146,72,18127,32017
"2533, NSW",953,1731,1060,817,880,542,377,444,68,38,8715,15623
"2534, NSW",393,693,356,323,258,180,89,188,24,15,3187,5711
"2535, NSW",470,640,471,283,334,225,111,231,27,13,4528,7332
"2536, NSW",728,866,952,843,752,815,326,693,70,53,11620,17720
"2537, NSW",511,798,724,556,563,451,239,441,31,34,7451,11811
"2538, NSW",126,188,137,101,89,98,30,87,9,6,1520,2397
"2539, NSW",728,997,1077,828,717,799,322,789,51,51,11626,17978
"2541, NSW",866,1458,1519,1414,1039,1032,604,1154,70,81,16401,25642
"2545, NSW",75,41,86,41,48,31,30,63,0,5,613,1042
"2546, NSW",392,490,467,377,311,320,136,366,30,17,6228,9118
"2548, NSW",377,470,474,398,330,399,118,326,26,23,4788,7736
"2549, NSW",225,236,278,191,182,140,108,185,9,8,2227,3788
"2550, NSW",937,1143,933,763,734,635,379,975,61,40,9250,15857
"2551, NSW",133,136,205,155,121,139,128,230,8,7,2241,3502
"2555, NSW",23,13,10,5,9,3,15,9,3,0,140,229
"2556, NSW",146,132,231,83,193,99,171,111,14,12,1315,2509
"2557, NSW",644,710,719,352,723,412,420,338,59,34,4540,8948
"2558, NSW",478,743,838,643,978,588,654,688,74,52,5386,11115
"2559, NSW",27,49,63,81,56,51,119,132,6,14,2466,3070
"2560, NSW",2958,4968,4832,3781,5276,3395,3838,3650,420,261,43146,76525
"2563, NSW",10,20,26,15,21,10,18,15,0,0,174,305
"2564, NSW",291,741,652,630,812,466,729,737,44,60,8759,13925
"2565, NSW",872,1622,1172,940,1581,823,965,919,98,59,10935,19985
"2566, NSW",993,1668,1771,1407,1946,1220,1600,1372,157,88,14115,26323
"2567, NSW",2452,3367,2979,2175,3396,2189,1671,1583,224,131,18328,38501
"2568, NSW",78,106,103,37,79,32,20,37,4,7,634,1146
"2569, NSW",68,123,129,58,97,48,78,52,4,5,696,1360
"2570, NSW",2693,3844,3300,2023,3223,1747,1576,1548,260,138,19752,40102
"2571, NSW",871,1019,1037,651,940,526,529,503,63,33,5678,11851
"2572, NSW",236,303,392,194,273,180,184,214,16,12,2466,4476
"2573, NSW",203,274,395,264,247,229,268,287,19,12,2863,5068
"2574, NSW",323,324,535,269,364,257,281,316,31,21,3030,5740
"2575, NSW",877,1225,1268,797,784,720,491,818,65,43,8390,15477
"2576, NSW",929,1394,630,552,578,541,136,358,48,37,8224,13433
"2577, NSW",1040,1231,1105,729,767,608,462,810,57,62,8532,15416
"2578, NSW",130,229,156,117,138,83,51,92,10,6,1671,2688
"2579, NSW",251,310,297,175,179,142,156,222,12,15,2267,4024
"2580, NSW",1618,1876,1777,1940,1542,1229,1024,1459,114,102,16536,29221
"2581, NSW",295,172,135,98,142,43,59,108,8,4,1028,2093
"2582, NSW",1160,1247,778,691,930,430,297,506,88,45,6271,12439
"2583, NSW",497,221,298,205,190,116,128,234,16,17,2466,4384
"2584, NSW",53,36,33,19,19,14,17,34,3,0,307,543
"2585, NSW",30,8,14,7,8,4,7,9,0,0,136,226
"2586, NSW",305,116,168,89,122,72,68,168,5,7,1487,2620
"2587, NSW",266,123,145,111,125,76,89,181,9,7,1775,2917
"2588, NSW",49,15,17,8,10,3,4,14,3,0,143,259
"2590, NSW",379,384,369,312,297,217,177,469,16,23,4457,7091
"2594, NSW",820,609,682,476,517,538,297,751,38,36,6914,11669
"2619, NSW",1178,1268,549,525,1070,433,109,216,98,17,4040,9508
"2621, NSW",662,700,461,271,595,193,117,165,46,18,2827,6056
"2622, NSW",385,312,223,134,196,112,112,153,20,25,2242,3921
"2623, NSW",45,38,53,30,39,11,26,37,9,0,324,613
"2625, NSW",67,25,20,37,15,14,10,26,0,0,181,390
"2626, NSW",52,36,39,26,34,13,14,30,5,0,249,505
"2627, NSW",464,350,429,381,278,305,141,316,32,13,1903,4621
"2628, NSW",214,107,146,113,107,76,58,118,13,8,951,1910
"2629, NSW",59,7,30,24,23,17,13,32,0,0,312,530
"2630, NSW",630,628,507,473,489,396,242,449,33,27,4825,8689
"2631, NSW",84,29,29,8,27,16,14,39,4,3,324,570
"2632, NSW",165,93,106,75,83,54,111,115,13,6,1011,1833
"2633, NSW",46,18,20,14,13,3,20,28,0,0,217,380
"2640, NSW",2129,3830,2377,1978,2256,1740,939,1507,141,84,19360,36343
"2641, NSW",463,711,1004,847,772,769,609,834,57,54,8955,15073
"2642, NSW",577,317,344,197,259,169,154,244,25,11,2506,4791
"2643, NSW",147,122,177,108,125,104,107,166,13,5,1702,2771
"2644, NSW",265,122,112,108,100,87,79,159,13,4,1359,2400
"2645, NSW",38,14,12,6,10,8,15,27,0,0,266,400
"2646, NSW",509,331,389,275,262,243,228,535,25,20,3943,6755
"2647, NSW",144,88,159,103,90,77,57,118,8,7,1300,2163
"2648, NSW",252,98,95,80,81,61,70,163,11,18,1447,2375
"2649, NSW",0,0,0,0,0,0,6,3,0,0,16,31
"2650, NSW",3259,5542,4158,3235,3411,2856,1445,2795,197,135,29942,56973
"2651, NSW",99,138,316,189,133,94,104,130,18,6,1053,2274
"2652, NSW",657,211,280,194,212,132,209,283,18,24,2376,4584
"2653, NSW",201,95,117,121,86,69,138,192,14,3,1496,2532
"2655, NSW",126,82,81,62,49,39,44,59,6,7,777,1336
"2656, NSW",179,64,52,54,59,24,43,53,7,4,738,1271
"2658, NSW",137,58,60,46,62,35,52,49,5,8,916,1435
"2659, NSW",112,39,44,33,54,19,34,51,6,0,502,889
"2660, NSW",146,82,98,72,64,34,55,99,3,3,951,1616
"2661, NSW",32,82,25,265,15,3,7,6,8,0,186,629
"2663, NSW",206,191,219,257,196,132,181,350,7,13,3427,5183
"2665, NSW",390,93,75,54,74,44,52,91,3,12,1336,2226
"2666, NSW",502,337,337,241,261,227,163,279,12,17,3302,5671
"2668, NSW",53,12,19,9,9,7,4,23,3,0,324,457
"2669, NSW",364,65,66,40,52,19,52,96,3,12,889,1653
"2671, NSW",309,215,273,151,186,145,238,215,16,24,2341,4111
"2672, NSW",130,68,66,55,61,50,29,73,3,3,1029,1576
"2675, NSW",207,61,86,62,76,26,93,162,0,5,798,1564
"2678, NSW",0,12,0,58,6,31,3,20,0,0,210,334
"2680, NSW",1668,1454,1498,975,1282,1155,736,1944,92,98,13037,23942
"2681, NSW",152,95,112,58,99,85,67,151,14,9,900,1732
"2700, NSW",320,243,266,205,204,136,165,357,12,16,2999,4925
"2701, NSW",213,159,127,115,109,86,72,94,12,4,1398,2388
"2702, NSW",54,34,46,27,26,19,21,30,4,5,516,781
"2703, NSW",29,35,42,22,20,19,34,70,0,0,701,981
"2705, NSW",693,589,601,364,495,334,401,830,50,53,5744,10156
"2706, NSW",81,38,54,51,48,25,57,117,3,5,675,1155
"2707, NSW",243,71,53,53,67,22,50,89,4,9,682,1344
"2710, NSW",797,604,559,466,490,363,337,610,39,41,5807,10124
"2711, NSW",345,136,189,132,143,115,168,264,10,22,1843,3361
"2712, NSW",134,60,63,52,51,41,54,68,8,3,823,1358
"2713, NSW",276,148,122,113,116,96,98,174,7,5,1636,2797
"2714, NSW",226,106,141,104,91,60,79,141,4,12,1795,2767
"2715, NSW",127,59,75,73,60,30,79,128,4,12,836,1478
"2716, NSW",133,39,70,34,56,43,34,60,3,8,632,1102
"2717, NSW",86,48,39,47,44,34,46,64,3,7,912,1333
"2720, NSW",419,480,521,325,346,297,396,463,24,34,4724,8010
"2721, NSW",65,5,7,3,9,0,0,11,0,0,138,239
"2722, NSW",226,134,192,134,130,132,109,294,12,24,1826,3207
"2725, NSW",35,18,15,12,12,3,16,21,4,0,241,373
"2726, NSW",35,9,17,13,4,9,10,23,0,0,110,219
"2727, NSW",71,21,11,11,18,10,4,34,0,0,177,352
"2729, NSW",181,82,88,58,76,40,100,101,6,6,960,1696
"2730, NSW",83,57,66,59,49,23,73,160,4,16,802,1385
"2731, NSW",544,444,361,297,294,283,165,307,16,17,3686,6407
"2732, NSW",182,106,78,58,68,51,51,117,9,14,1045,1776
"2733, NSW",78,20,21,22,20,9,19,56,0,5,294,541
"2734, NSW",79,40,7,19,27,18,5,23,0,0,236,456
"2735, NSW",55,10,34,17,18,8,10,25,3,0,263,446
"2736, NSW",57,17,22,16,14,3,5,26,0,3,214,375
"2737, NSW",94,29,46,26,50,11,25,66,3,7,491,839
"2738, NSW",157,130,126,73,104,71,51,78,5,3,858,1661
"2739, NSW",112,90,89,65,57,71,44,75,4,5,782,1397
"2745, NSW",2077,2712,2250,1624,2976,1530,1307,1150,167,101,13617,29503
"2747, NSW",1872,3005,2979,2241,3575,1951,2325,2121,267,168,21926,42421
"2748, NSW",158,157,164,81,165,80,89,77,9,11,875,1879
"2749, NSW",923,1284,1354,848,1535,872,840,795,83,58,8331,16933
"2750, NSW",2154,3647,3061,2292,3683,1994,1823,1858,235,149,23905,44806
"2752, NSW",308,300,459,248,437,217,277,272,35,24,2347,4924
"2753, NSW",983,1255,1504,885,1142,762,759,849,85,45,8867,17134
"2754, NSW",297,436,466,289,401,251,236,238,31,19,3023,5695
"2755, NSW",21,21,31,42,8,0,8,8,0,0,118,260
"2756, NSW",2199,2211,3312,1746,2746,1523,1587,1762,181,130,16551,33934
"2757, NSW",56,72,66,50,65,32,31,43,7,0,433,851
"2758, NSW",659,862,847,395,653,343,273,334,47,44,4250,8718
"2759, NSW",1274,1787,2153,1368,2675,1384,1682,1349,167,79,12420,26331
"2760, NSW",1053,1767,1845,1576,2309,1305,2257,1807,197,138,19585,33832
"2761, NSW",1117,2289,1950,1515,2506,1375,2048,1670,174,111,16211,30954
"2762, NSW",296,539,382,238,423,220,193,203,25,17,2440,4979
"2763, NSW",1705,3455,1938,1584,2815,1567,1268,1218,178,98,15050,30875
"2765, NSW",975,975,1278,554,1191,641,767,691,61,64,8917,16112
"2766, NSW",488,1130,886,747,1143,656,968,816,78,65,8559,15536
"2767, NSW",815,2018,1198,993,1821,874,1167,1138,128,99,12280,22526
"2768, NSW",2053,3868,1420,1247,2402,1390,846,832,147,94,14458,28760
"2769, NSW",937,1862,572,434,975,529,263,246,63,34,5816,11732
"2770, NSW",1141,2183,2625,2359,2960,1902,3752,3204,296,294,40576,61302
"2773, NSW",492,1000,316,319,431,208,89,127,36,11,2983,6009
"2774, NSW",829,1923,820,674,978,482,275,442,62,28,6425,12931
"2775, NSW",93,87,114,59,54,41,48,93,9,5,883,1492
"2776, NSW",225,590,274,258,285,142,85,135,17,18,2005,4026
"2777, NSW",1022,2381,1176,977,1238,668,354,596,87,37,9074,17606
"2778, NSW",138,363,152,168,154,71,56,83,12,8,1232,2432
"2779, NSW",243,634,329,308,310,189,111,191,23,4,2632,4976
"2780, NSW",662,1544,675,807,612,433,217,526,45,33,7668,13222
"2782, NSW",351,721,273,315,307,191,100,210,26,16,3569,6077
"2783, NSW",133,326,159,165,154,90,75,113,8,7,1381,2612
"2784, NSW",70,139,84,69,81,41,26,56,3,0,657,1232
"2785, NSW",253,557,245,207,209,148,89,176,9,6,2646,4545
"2786, NSW",65,100,96,68,51,38,22,45,3,0,803,1290
"2787, NSW",323,191,274,170,187,128,296,222,28,23,2611,4450
"2790, NSW",563,764,1031,715,803,503,686,693,54,53,9892,15763
"2791, NSW",36,12,15,16,18,11,9,17,0,0,198,344
"2792, NSW",47,24,13,8,12,9,16,31,0,0,224,389
"2793, NSW",101,28,43,37,34,27,24,62,3,4,619,975
"2794, NSW",596,564,559,442,422,441,260,616,37,45,6440,10426
"2795, NSW",2318,3528,2699,2482,2256,1819,1213,2139,176,128,23784,42552
"2797, NSW",32,14,25,23,24,12,22,34,0,5,232,422
"2798, NSW",205,224,133,76,109,65,74,83,17,8,1111,2103
"2799, NSW",232,207,277,201,206,140,227,264,9,27,2333,4119
"2800, NSW",2413,4246,2959,2252,2653,1902,1382,2066,164,135,24813,44994
"2803, NSW",29,10,15,5,15,0,10,28,0,0,159,277
"2804, NSW",248,157,131,132,110,81,67,148,9,12,1581,2667
"2805, NSW",42,17,12,10,15,8,19,32,0,0,243,397
"2806, NSW",73,42,51,32,27,18,27,53,3,0,444,781
"2807, NSW",46,7,17,11,7,11,8,21,4,0,287,429
"2808, NSW",18,3,12,0,7,0,7,4,0,0,122,177
"2809, NSW",31,13,7,8,3,0,0,14,0,6,158,239
"2810, NSW",395,158,145,97,117,83,96,155,6,6,1893,3152
"2817, NSW",82,19,13,11,3,0,13,28,0,0,124,291
"2818, NSW",94,58,66,43,54,36,22,48,5,4,449,864
"2820, NSW",384,313,274,382,215,184,152,307,15,24,5078,7320
"2821, NSW",396,264,270,219,201,147,201,207,9,14,2892,4810
"2822, NSW",47,16,27,26,27,12,16,24,0,0,216,412
"2823, NSW",181,59,64,49,60,36,53,74,3,6,842,1419
"2824, NSW",203,110,112,84,91,53,80,118,10,7,1314,2187
"2825, NSW",200,116,145,127,98,55,135,133,3,10,1354,2382
"2826, NSW",56,12,10,4,3,9,3,8,0,0,99,197
"2827, NSW",343,180,189,196,127,112,106,200,14,8,2221,3693
"2828, NSW",130,24,17,27,19,13,13,34,3,4,547,832
"2829, NSW",285,150,125,136,131,63,68,157,12,22,1948,3100
"2830, NSW",2257,3416,2720,2329,2505,2106,1113,2043,148,157,21500,40290
"2831, NSW",294,102,112,65,94,51,62,105,9,8,1027,1920
"2832, NSW",208,121,98,128,84,44,55,134,13,16,1662,2566
"2833, NSW",60,39,4,30,24,6,23,26,3,0,442,654
"2834, NSW",93,104,55,120,62,53,65,87,9,10,1692,2338
"2835, NSW",247,232,358,171,178,109,338,188,18,19,2320,4173
"2836, NSW",86,31,16,51,20,9,6,57,0,5,610,890
"2838, NSW",20,18,8,15,3,0,5,12,0,0,163,243
"2839, NSW",99,65,30,79,31,10,19,48,9,7,935,1337
"2840, NSW",220,167,105,167,95,60,65,129,22,14,1658,2702
"2842, NSW",93,33,14,22,17,5,26,26,0,0,385,626
"2843, NSW",139,67,65,42,41,37,39,73,3,4,764,1288
"2844, NSW",146,55,43,40,37,29,32,80,0,12,973,1441
"2845, NSW",51,69,129,109,94,62,118,105,0,5,1228,1978
"2846, NSW",17,10,15,15,8,7,4,18,3,0,192,277
"2847, NSW",54,80,149,143,93,69,135,98,8,6,1589,2426
"2848, NSW",19,39,76,50,34,35,57,70,0,7,1251,1650
"2849, NSW",136,64,86,54,69,33,46,76,0,11,975,1547
"2850, NSW",1083,1049,1291,724,764,717,916,851,50,55,10148,17645
"2852, NSW",196,127,233,129,127,103,210,180,9,8,2206,3542
"2864, NSW",96,57,70,26,37,14,31,48,0,3,436,805
"2865, NSW",88,33,50,32,35,18,40,77,3,0,480,868
"2866, NSW",263,205,194,120,161,101,82,157,15,9,1792,3100
"2867, NSW",84,28,16,23,25,15,13,44,3,0,345,599
"2868, NSW",83,33,35,19,18,12,19,35,3,0,401,649
"2869, NSW",165,56,45,54,49,27,61,53,0,9,933,1442
"2870, NSW",684,744,762,528,576,488,521,489,47,47,7151,12038
"2871, NSW",712,548,540,379,397,370,311,495,39,48,5523,9350
"2873, NSW",109,23,29,8,10,3,17,14,0,0,340,558
"2874, NSW",90,29,16,11,11,3,8,26,0,5,220,423
"2875, NSW",145,46,50,32,21,13,30,51,3,5,577,969
"2876, NSW",71,13,23,7,16,4,9,14,0,0,258,421
"2877, NSW",356,186,197,177,150,112,168,176,4,23,2335,3880
"2878, NSW",82,9,0,22,3,0,10,31,0,0,208,371
"2879, NSW",45,21,7,26,16,11,12,20,3,5,475,636
"2880, NSW",814,1137,1033,1058,761,709,730,831,80,61,11058,18276
"2898, NSW",52,18,34,28,22,13,6,41,5,7,152,381
"3000, VIC",1858,5344,1564,2374,1587,1437,200,1406,165,121,21926,37979
"3002, VIC",594,1461,113,221,351,160,17,55,34,14,1936,4957
"3003, VIC",420,1196,269,303,365,217,50,161,39,18,2473,5516
"3004, VIC",1102,2144,324,393,691,374,49,152,68,34,3972,9311
"3005, VIC",60,87,10,21,33,19,3,13,4,0,273,523
"3006, VIC",1901,4113,802,1099,1294,842,117,422,143,72,8011,18811
"3008, VIC",1077,2300,361,418,652,446,71,204,67,50,4799,10438
"3010, VIC",36,184,16,182,64,74,3,135,0,0,897,1595
"3011, VIC",1351,3483,1067,1217,1326,991,489,997,128,86,10327,21464
"3012, VIC",1668,3568,1384,1410,1737,1125,781,1259,141,108,13117,26295
"3013, VIC",1442,2770,772,687,1066,628,240,432,79,21,6832,14967
"3015, VIC",1713,2943,980,758,1291,684,344,456,91,64,8146,17472
"3016, VIC",1581,2484,655,632,1026,657,152,293,91,47,7939,15558
"3018, VIC",858,1551,777,573,945,510,343,369,59,40,6664,12685
"3019, VIC",257,559,449,404,360,344,393,612,58,48,5709,9199
"3020, VIC",1242,2610,2347,1926,2142,1603,2117,2976,242,264,27332,44784
"3021, VIC",1113,2078,2905,2247,2127,1806,2738,3861,237,306,34772,54190
"3022, VIC",94,217,167,155,147,82,158,191,23,21,1853,3102
"3023, VIC",2784,4677,3555,2883,4103,2716,3114,3216,326,283,36316,63974
"3024, VIC",938,1595,1446,1321,1719,1080,1230,1092,86,79,13260,23852
"3025, VIC",579,937,697,441,665,456,373,405,39,45,7514,12155
"3026, VIC",0,0,0,0,0,0,14,7,0,0,42,72
"3027, VIC",430,1013,329,272,497,303,205,213,41,30,3310,6650
"3028, VIC",1180,2270,1942,1449,2015,1223,1470,1616,163,106,15762,29198
"3029, VIC",3666,6919,5328,5069,6349,4032,5429,4270,430,390,52065,93946
"3030, VIC",5813,9385,5847,4628,7028,4471,3993,4052,504,350,54249,100311
"3031, VIC",1359,3944,615,941,1225,691,235,469,89,59,8901,18533
"3032, VIC",2356,4985,1309,1621,2130,1433,527,988,174,93,13838,29449
"3033, VIC",850,1492,856,599,1101,685,373,424,75,40,8017,14512
"3034, VIC",590,1072,639,401,795,521,279,396,56,60,6830,11633
"3036, VIC",473,645,361,233,482,331,125,178,28,29,3039,5921
"3037, VIC",2466,3598,3433,2395,3891,2752,2395,2613,278,179,27152,51156
"3038, VIC",1579,2280,1940,1234,2272,1613,1066,1212,116,106,13837,27258
"3039, VIC",1324,2508,679,673,1113,673,180,330,64,38,6657,14252
"3040, VIC",2223,4209,1274,1297,2151,1367,362,709,142,87,12116,25939
"3041, VIC",995,1769,690,603,1029,654,178,322,60,37,6075,12412
"3042, VIC",1016,1613,1043,747,1298,783,407,520,104,51,8190,15762
"3043, VIC",792,1255,1128,869,1372,812,713,797,83,76,9824,17715
"3044, VIC",1707,3666,1629,1247,2119,1222,510,837,127,79,13961,27116
"3045, VIC",8,3,3,3,3,0,0,3,0,0,72,100
"3046, VIC",1425,3022,2254,1590,2048,1304,1047,1615,130,125,19498,34061
"3047, VIC",328,580,913,890,537,503,842,962,71,84,15197,20901
"3048, VIC",312,518,779,711,591,558,744,763,71,80,12902,18025
"3049, VIC",462,724,699,488,838,500,385,414,37,54,4669,9266
"3050, VIC",3,8,3,3,3,0,0,0,0,0,92,119
"3051, VIC",843,2875,445,769,766,576,136,339,73,40,8083,14939
"3052, VIC",317,1275,150,307,323,209,34,123,36,16,2918,5697
"3053, VIC",714,2583,416,837,703,551,120,348,48,39,12182,18538
"3054, VIC",731,2369,257,460,581,378,69,118,60,18,3386,8426
"3055, VIC",935,2694,788,796,1032,601,222,444,72,59,6506,14160
"3056, VIC",1929,5856,1242,1511,1692,1052,292,681,126,91,10011,24475
"3057, VIC",994,2900,583,693,847,525,118,286,69,26,4464,11502
"3058, VIC",2120,5449,1828,1615,2212,1458,651,1149,166,110,17014,33783
"3059, VIC",1090,1322,1161,643,1329,980,518,632,111,67,7608,15466
"3060, VIC",422,938,740,609,565,471,464,599,52,61,9105,14040
"3061, VIC",87,131,270,195,138,139,195,236,24,22,3618,5059
"3062, VIC",0,0,0,0,0,0,0,0,0,0,0,0
"3063, VIC",62,48,44,20,24,36,16,17,6,3,295,574
"3064, VIC",2696,4245,4594,3802,4319,3121,3873,3729,297,302,44479,75458
"3065, VIC",897,2415,317,531,496,372,85,206,64,41,5026,10447
"3066, VIC",747,1996,376,457,476,320,73,191,63,32,3798,8512
"3067, VIC",858,2183,395,470,538,380,76,185,63,26,3025,8199
"3068, VIC",1762,4941,723,911,1158,621,120,254,149,43,7991,18665
"3070, VIC",2101,5678,1051,1247,1542,954,231,481,121,87,11067,24567
"3071, VIC",1373,3612,958,1005,1215,767,271,555,76,53,8683,18569
"3072, VIC",1847,4699,1787,1733,2056,1475,638,1239,142,110,17133,32848
"3073, VIC",2066,4586,3096,2344,3053,2060,1374,2414,222,190,29064,50479
"3074, VIC",509,869,1128,827,889,757,968,1242,90,86,13154,20522
"3075, VIC",617,1013,1361,851,1039,880,955,1280,103,89,14404,22594
"3076, VIC",1175,2048,2064,1732,2078,1642,1584,1760,127,150,18030,32395
"3078, VIC",1038,2502,497,575,758,487,140,275,60,36,5270,11638
"3079, VIC",1416,3235,610,666,1111,690,126,307,72,35,7722,15990
"3081, VIC",502,1486,748,702,681,439,344,553,71,46,7856,13424
"3082, VIC",1400,2505,2226,1615,2285,1732,1152,1441,123,115,15121,29713
"3083, VIC",1489,2910,1759,1601,2058,1623,764,1369,135,120,17695,31526
"3084, VIC",1799,4415,1108,1016,1754,1064,257,570,103,62,13365,25514
"3085, VIC",985,1992,908,679,1025,595,197,328,54,34,7078,13882
"3086, VIC",7,32,12,93,29,104,8,41,5,0,571,908
"3087, VIC",504,1061,631,482,677,417,202,334,33,36,4657,9033
"3088, VIC",1773,3633,1911,1416,2214,1289,427,798,117,75,13238,26890
"3089, VIC",884,1452,1055,735,1050,678,199,398,53,37,5199,11739
"3090, VIC",224,272,185,113,232,154,43,69,8,3,1063,2362
"3091, VIC",149,142,162,75,116,96,38,40,10,10,755,1585
"3093, VIC",338,535,229,162,310,163,41,82,20,10,2007,3891
"3094, VIC",646,1329,662,517,714,357,107,216,30,26,4372,8963
"3095, VIC",2410,4267,1808,1482,2207,1338,345,731,89,67,13028,27770
"3096, VIC",132,216,184,133,138,91,34,58,11,9,966,1966
"3097, VIC",151,176,100,64,90,43,15,31,6,8,757,1443
"3099, VIC",345,647,472,290,312,188,102,183,29,10,2306,4877
"3101, VIC",2366,4941,677,968,1478,1051,134,361,151,64,12419,24604
"3102, VIC",624,1208,201,280,408,305,45,109,23,18,3413,6634
"3103, VIC",1258,2530,422,542,908,696,103,247,82,58,8503,15343
"3104, VIC",1676,3273,642,739,1213,1052,153,393,119,63,11077,20404
"3105, VIC",766,1321,512,444,690,574,135,299,42,57,6041,10877
"3106, VIC",1465,2192,703,595,1129,869,170,355,69,50,9023,16620
"3107, VIC",987,1760,611,508,809,655,144,343,57,41,7630,13557
"3108, VIC",1373,2591,937,832,1228,1041,251,582,101,81,11812,20823
"3109, VIC",1861,3629,1319,1179,1884,1418,356,736,107,105,15771,28357
"3111, VIC",980,1673,551,485,852,645,144,297,45,40,6638,12348
"3113, VIC",849,1294,533,446,539,372,82,184,43,25,4098,8460
"3114, VIC",407,532,204,158,269,211,33,106,11,23,1863,3823
"3115, VIC",379,423,318,190,328,229,64,123,18,17,1697,3799
"3116, VIC",635,828,918,576,808,586,205,433,39,18,4827,9872
"3121, VIC",3369,7408,1379,1565,2204,1533,301,708,195,100,11752,30502
"3122, VIC",2118,5302,739,1178,1595,1117,147,519,123,70,10603,23508
"3123, VIC",1361,3153,445,634,945,656,102,233,76,40,6674,14319
"3124, VIC",2000,4167,564,869,1328,952,113,309,94,61,11630,22091
"3125, VIC",873,1821,509,700,798,701,162,452,52,49,8907,15021
"3126, VIC",803,1479,174,279,455,345,31,85,42,17,4349,8060
"3127, VIC",1778,3699,551,750,1228,756,115,280,84,34,9167,18445
"3128, VIC",1172,2750,962,949,1121,915,200,612,82,87,10975,19832
"3129, VIC",1065,2737,805,785,1118,778,215,454,72,64,9274,17374
"3130, VIC",2235,4901,1494,1325,2038,1356,406,845,123,78,17369,32171
"3131, VIC",1349,3067,1180,994,1484,1018,379,741,80,70,12129,22499
"3132, VIC",1062,2683,889,804,1177,718,260,504,60,41,7947,16148
"3133, VIC",1408,2996,1060,940,1551,1071,323,683,92,56,11941,22119
"3134, VIC",2283,4138,2183,1702,2464,1697,508,1088,129,112,16479,32782
"3135, VIC",1309,2731,1324,1004,1372,932,365,672,69,37,10132,19954
"3136, VIC",2616,4915,3392,2378,3370,2312,925,1686,190,141,22455,44373
"3137, VIC",757,1089,1320,770,1080,670,420,643,42,49,7027,13872
"3138, VIC",1269,1915,2052,1304,1647,1154,593,1035,97,66,10831,21964
"3139, VIC",876,840,1558,792,855,606,516,812,73,60,6726,13722
"3140, VIC",1022,1229,1519,918,1227,909,457,819,69,39,8340,16532
"3141, VIC",2795,6495,850,1127,1777,1303,131,370,149,92,10055,25149
"3142, VIC",1415,2529,315,425,801,622,32,160,139,38,6426,12912
"3143, VIC",913,1916,267,394,646,463,45,160,61,25,4171,9052
"3144, VIC",1103,2178,250,378,628,492,52,126,55,16,5603,10885
"3145, VIC",1971,4198,753,923,1429,1050,166,448,110,75,12168,23294
"3146, VIC",2550,5161,794,994,1724,1123,148,427,118,83,12133,25256
