OCCP - 1 Digit Level,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
"2074, NSW",2141,3894,533,788,1312,785,123,290,117,49,12228,22261
"2075, NSW",2171,3460,507,663,1287,936,116,258,125,35,10895,20456
"2076, NSW",2083,4393,722,946,1638,842,173,434,129,54,13243,24653
"2077, NSW",2355,6601,1954,1912,2596,1521,553,1277,156,104,18757,37792
"2079, NSW",545,1095,526,375,580,308,142,232,42,24,3221,7096
"2080, NSW",119,239,110,100,119,68,35,61,12,3,831,1704
"2081, NSW",408,826,339,302,486,230,66,168,15,21,2502,5365
"2082, NSW",400,756,425,277,450,223,86,148,18,13,2602,5399
"2083, NSW",133,199,108,79,99,44,22,72,15,8,742,1514
"2084, NSW",354,434,264,155,262,146,47,108,16,8,1836,3625
"2085, NSW",1058,1466,534,468,836,533,134,240,46,46,6256,11624
"2086, NSW",1298,1953,678,586,991,631,179,307,58,26,6709,13417
"2087, NSW",1145,1911,529,500,786,546,135,258,44,28,6908,12796
"2088, NSW",3365,5530,625,1015,1687,1086,101,296,240,61,14476,28476
"2089, NSW",1555,3004,413,470,899,507,71,159,90,33,4724,11914
"2090, NSW",1804,3172,425,491,1022,577,92,178,87,33,5842,13726
"2092, NSW",821,1212,229,264,449,270,42,101,48,17,3686,7137
"2093, NSW",2436,3799,964,1007,1485,1013,223,459,120,56,11311,22872
"2094, NSW",722,1275,212,271,378,264,42,91,35,16,2541,5841
"2095, NSW",1975,3545,614,738,884,675,125,259,113,64,6887,15863
"2096, NSW",1651,2667,904,772,1017,640,165,339,84,35,6381,14656
"2097, NSW",1462,2059,1044,795,1234,785,253,396,74,40,7391,15531
"2099, NSW",3114,4805,2939,2410,2846,2118,933,1692,195,147,18732,39922
"2100, NSW",1779,2832,1319,1024,1572,1006,374,700,109,69,10138,20911
"2101, NSW",1679,2483,1522,960,1351,846,320,513,108,57,9560,19394
"2102, NSW",657,921,443,391,600,383,118,187,37,18,3737,7499
"2103, NSW",894,1316,673,503,798,526,188,285,52,44,5391,10674
"2104, NSW",338,387,139,132,208,123,31,53,23,5,2181,3620
"2105, NSW",193,294,99,65,108,71,16,33,10,0,958,1848
"2106, NSW",923,1321,631,500,634,495,90,249,65,26,4371,9303
"2107, NSW",1407,2152,905,667,959,666,124,334,92,40,7317,14670
"2108, NSW",180,245,77,46,83,65,12,31,23,8,910,1672
"2109, NSW",116,431,70,159,167,177,21,77,15,8,1847,3090
"2110, NSW",1067,1590,240,343,609,370,52,92,58,26,5890,10348
"2111, NSW",1477,2410,599,593,1125,614,153,293,63,52,7034,14415
"2112, NSW",2382,4969,1805,1351,2555,1500,539,852,185,128,16591,32852
"2113, NSW",1389,3367,850,715,1364,748,209,424,74,55,9174,18365
"2114, NSW",1608,4307,1321,1086,1955,1038,379,758,138,80,11394,24059
"2115, NSW",653,1129,673,467,801,418,234,364,59,44,5906,10738
"2116, NSW",354,704,455,278,522,283,187,239,36,29,3554,6640
"2117, NSW",1258,2632,1159,835,1572,886,426,677,91,76,11671,21288
"2118, NSW",1470,3593,1159,895,1607,1002,433,639,133,92,13317,24340
"2119, NSW",1009,2331,352,401,830,443,78,165,33,25,5983,11646
"2120, NSW",1649,3730,841,857,1425,813,183,451,89,59,10116,20207
"2121, NSW",1903,5414,1044,1033,1959,1069,297,614,141,97,14656,28215
"2122, NSW",1803,4971,1370,1153,2089,1262,389,849,144,130,17004,31161
"2123, NSW",0,0,0,0,0,0,0,0,0,0,0,0
"2125, NSW",1587,2930,645,549,1297,736,149,279,89,63,8047,16377
"2126, NSW",1597,3281,686,673,1549,838,205,381,95,38,9420,18768
"2127, NSW",1486,2685,645,600,1262,660,202,267,101,51,6566,14535
"2128, NSW",134,214,175,99,186,88,87,86,16,8,3065,4166
"2129, NSW",0,0,0,0,0,0,0,0,0,0,0,4
"2130, NSW",575,1677,336,345,559,312,95,209,47,18,3129,7306
